task_id,answer,correct_answer
0,потому что это приводит к путанице и ошибкам при обработке данных.,состоит
1,и восток — в север,превращает
2,долговые обязательства компании,уменьшилась
3,конвенция была ратифицирована,была ратифицирована
4,"то, о чем я сейчас говорил, а именно — возможность достичь согласия и взаимопонимания.",мы получим
5,срок действия контрактов,увеличился
6,и это вызывает недоумение у многих людей.,принимают
7,"в состоянии, когда они находятся в растворе или расплавленном виде",являются
8,это может привести,может привести
9,группа ворвалась в дом,ворвалась в дом
10,котировки акций,составляют
11,по сравнению с первоначальным уровнем расходов,"плановый уровень, был увеличен"
12,"от структуры данных, которые используются в запросе",зависит
13,"в активах банковского сектора на 1.01.2006 составила 45,8%, в капитале — 38,7%.","составила, составила"
14,"Я откликнусь на дурака, ты откликнёшься на дуру.",откликнешься
15,неправильных поступков,защищает нас
16,"некоторые из них были наемными мирянами, а другие жрецами",были
17,выросли на 37% за период с мая 2010 года по февраль 2011 года,выросли
18,как и прежде,оставалась
19,"жизнь природы - велика, подвижна, реальна",была
20,и оно может быть счетным или несчетным.,будем называть
21,не любит,очень любит
22,АГ и АГ.,будем говорить
23,при этом последние могут быть зарегистрированы в отдельных странах.,"являются, являются зарегистрированными"
24,"отдать честь, предъявить удостоверение личности и увольнительную, кося при этом одним глазом на Нупа, а другим – на вещмешок с радиолампами.",кося
25,доля его активов в собственном капитале банков составляет около 35%,составляет
26,функциональной валютой для операций Группы,является
27,что эти пять стран также имеют низкие показатели по другим образовательным параметрам,входят
28,"из стен выступали полки, которые предназначались для хранения различных предметов",была приделана
29,печать на бумаге формата A4,выполняется со скоростью до
30,"изливает воду, символ Света,",изливает воду
31,председателя круглого стола A,был
32,восстанавливаются мышцы спины.,восстанавливаются 
33,"о своих взглядах на жизнь и о том, как они воспринимают окружающий мир.",была
34,по сравнению с I кварталом 2005 года,вырос
35,проекта,проекта находятся
36,по сравнению с аналогичным периодом предыдущего года,"составил, составил"
37,за фото,"получила, за фото"
38,"по венам течет кровь, а по ручью течет вода.",течет
39,"время, отведенное на выступления от имени отдельных делегаций",отводится
40,"в лавке стало совсем тесно из-за того, что в ней находились мясник, его супруга, мы с женой и, возможно, еще кто-то.",были
41,"и еще 3,5 миллиона - в других странах.",проживают
42,и ее голос был густым,у нее был
43,затем – на меня.,посмотрела
44,"Ты научил меня тому, что прощение является высшим уровнем прочности, а месть - высшим уровнем слабости, и я понял это благодаря твоим словам.",является
45,"что если ты не согласен с чужим мнением, то лучше не высказывать свое мнение вслух.",мнение надо
46,я,думают
47,"инвестиционные расходы компаний, а также",уменьшился
48,"в отличие от них, которые ведут себя плохо и неуважительно",будут
49,закреплен,закреплен
50,"в Word 2010 блокировка выполняется на уровне абзаца, а в PowerPoint 2010 — на уровне слайда.",выполняется
51,возможности управления сервером и минимальные требования к оборудованию,привлекает
52,кому-то,не хватает
53,совокупный объем продаж группы Baltika во втором квартале,вырос
54,"каждая улочка казалась мне изящной аллеей, каждый домишко казался мне дворцом, а двухэтажные дома казались мне небоскребами.","казался, казались"
55,участие АВТОВАЗа и Nissan в данном проекте составит,составит
56,объем выплат составил 900.5 млн. долл. США.,равнялся
57,веб-сайта его состояние,веб-сайта это свойство устанавливается
58,кайфую от дочи.,кайфую
59,"пансион был для нее чем-то вроде тюрьмы, а ученье – наказанием, потому что она чувствовала себя изолированной и подавленной.",было
60,с использованием свойств логических операций и теоремы о дополнении.,следует
61,"положив другую руку на плечо умирающего человека, который был её другом.",положив
62,"составил 12,3 процента, а в секторе Газа - 23,5 процента.",составил
63,координация и осуществление мероприятий в этой области,возлагается
64,категориям товаров,свидетельствуют
65,считают,считают
66,"Он загоняет человека в могилу, а верблюда — в кастрюлю.",загоняет
67,необходимый,мы сможем предоставить
68,влияние этих рисков на финансовые результаты компании,является
69,неприемлемыми и незначительными,были
70,"история олова в Андах, откуда происходит бронза Нового Света, — с озером Титикака, а также с другими регионами, где добывали и использовали олово.",неразрывно связана
71,"другая секция могла быть маленьким поселком, типичным для американского Юга, а еще одна секция могла быть оживленной улицей крупного города.",вполне могла быть
72,и саму куртку можно было затянуть на шнур,можно было
73,выжимайте или тяните,давите
74,продают другой вид товаров или услуг,отлично продают
75,таксонов ___ 13.,достигло
76,"и на всей земле она любила только свою мать - росу, а в небе - солнечный луч - своего отца.",любила только
77,при этом,обеспечивается
78,возросло в 2 раза,возросло
79,шли,шли
80,дисковод для дискет.,вставьте
81,в то время как,объем увеличился
82,"он чувствовал, как",продолжало
83,посадка в эконом-классе,будет стоить
84,фильтру,цвет коричневым
85,уровень жизни,волнует
86,праздничные украшения и развлечения,придется
87,недовольство миром,"недовольство, недовольство"
88,"что артрит снижал заработную плату мужчин на 27,7%, а женщин на 42,0% по сравнению с их заработной платой без учета влияния артрита.","заработную плату, снижал"
