task_id,answer,correct_answer
rudabank_1753,pos_answer,pos_answer
rudabank_367,disapproval,avoiding
rudabank_1247,open_question,open_question
rudabank_849,command,command
rudabank_1748,pos_answer,pos_answer
rudabank_100,apology,apology
rudabank_134,apology,apology
rudabank_1586,statement,other_answers
rudabank_1739,back-channeling,pos_answer
rudabank_298,appreciation,appreciation
rudabank_2010,thanking,thanking
rudabank_1700,pos_answer,pos_answer
rudabank_1551,statement,other_answers
rudabank_741,other_answers,command
rudabank_1814,avoiding,statement
rudabank_1128,disapproval,neg_answer
rudabank_1241,open_question,open_question
rudabank_432,open_question,back-channeling
rudabank_351,disapproval,avoiding
rudabank_485,pos_answer,back-channeling
rudabank_1665,pos_answer,pos_answer
rudabank_56,apology,apology
rudabank_482,back-channeling,back-channeling
rudabank_211,appreciation,appreciation
rudabank_1673,avoiding,pos_answer
rudabank_1376,open_question,opening
rudabank_1791,disapproval,statement
rudabank_2233,open_question,yes_no_question
rudabank_463,statement,back-channeling
rudabank_1766,pos_answer,pos_answer
rudabank_2118,yes_no_question,yes_no_question
rudabank_1321,yes_no_question,open_question
rudabank_680,thanking,closing
rudabank_923,neg_answer,disapproval
rudabank_1897,pos_answer,statement
rudabank_353,avoiding,avoiding
rudabank_1266,command,open_question
rudabank_1555,statement,other_answers
rudabank_1637,pos_answer,pos_answer
rudabank_457,back-channeling,back-channeling
rudabank_788,statement,command
rudabank_508,pos_answer,back-channeling
rudabank_96,apology,apology
rudabank_932,disapproval,disapproval
rudabank_433,other_answers,back-channeling
rudabank_677,closing,closing
rudabank_350,disapproval,avoiding
rudabank_650,closing,closing
rudabank_1714,pos_answer,pos_answer
rudabank_1957,appreciation,thanking
rudabank_862,command,command
rudabank_1591,statement,other_answers
rudabank_196,appreciation,appreciation
rudabank_1911,statement,statement
rudabank_1436,opening,opening
rudabank_929,neg_answer,disapproval
rudabank_1499,statement,other_answers
rudabank_402,avoiding,avoiding
rudabank_2159,other_answers,yes_no_question
rudabank_1820,statement,statement
rudabank_1313,open_question,open_question
rudabank_1984,appreciation,thanking
rudabank_538,pos_answer,back-channeling
rudabank_410,open_question,back-channeling
rudabank_829,command,command
rudabank_1355,statement,opening
rudabank_188,appreciation,appreciation
rudabank_1646,pos_answer,pos_answer
rudabank_218,appreciation,appreciation
rudabank_2086,yes_no_question,yes_no_question
rudabank_2148,open_question,yes_no_question
rudabank_2131,yes_no_question,yes_no_question
rudabank_1229,neg_answer,open_question
rudabank_1929,statement,statement
rudabank_1029,neg_answer,neg_answer
rudabank_1314,opening,open_question
rudabank_179,pos_answer,appreciation
rudabank_70,disapproval,apology
rudabank_700,disapproval,closing
rudabank_1726,pos_answer,pos_answer
rudabank_507,pos_answer,back-channeling
rudabank_1710,pos_answer,pos_answer
rudabank_383,disapproval,avoiding
rudabank_1956,thanking,thanking
rudabank_1521,statement,other_answers
rudabank_360,disapproval,avoiding
rudabank_1990,appreciation,thanking
rudabank_976,neg_answer,disapproval
rudabank_1304,open_question,open_question
rudabank_29,apology,apology
rudabank_290,statement,appreciation
rudabank_746,command,command
rudabank_807,command,command
rudabank_2081,thanking,thanking
rudabank_695,disapproval,closing
rudabank_479,back-channeling,back-channeling
rudabank_1041,neg_answer,neg_answer
rudabank_1856,statement,statement
rudabank_2138,open_question,yes_no_question
rudabank_1764,pos_answer,pos_answer
rudabank_247,statement,appreciation
rudabank_596,closing,closing
rudabank_548,appreciation,back-channeling
rudabank_461,open_question,back-channeling
rudabank_1909,statement,statement
rudabank_1124,neg_answer,neg_answer
rudabank_111,apology,apology
rudabank_2025,statement,thanking
rudabank_324,statement,avoiding
rudabank_2011,appreciation,thanking
rudabank_368,avoiding,avoiding
rudabank_705,statement,closing
rudabank_564,pos_answer,back-channeling
rudabank_1200,open_question,open_question
rudabank_514,open_question,back-channeling
rudabank_674,statement,closing
rudabank_752,command,command
rudabank_1421,opening,opening
rudabank_422,pos_answer,back-channeling
rudabank_2049,thanking,thanking
rudabank_1034,neg_answer,neg_answer
rudabank_602,thanking,closing
rudabank_69,apology,apology
rudabank_552,pos_answer,back-channeling
rudabank_981,statement,disapproval
rudabank_1058,neg_answer,neg_answer
rudabank_486,pos_answer,back-channeling
rudabank_307,avoiding,avoiding
rudabank_1078,neg_answer,neg_answer
rudabank_1259,open_question,open_question
rudabank_1541,neg_answer,other_answers
rudabank_1779,pos_answer,pos_answer
rudabank_1110,neg_answer,neg_answer
rudabank_231,back-channeling,appreciation
rudabank_464,open_question,back-channeling
rudabank_965,disapproval,disapproval
rudabank_1978,thanking,thanking
rudabank_1064,neg_answer,neg_answer
rudabank_1488,statement,other_answers
rudabank_73,apology,apology
rudabank_109,apology,apology
rudabank_642,closing,closing
rudabank_632,avoiding,closing
rudabank_889,disapproval,disapproval
rudabank_1800,statement,statement
rudabank_48,apology,apology
rudabank_937,neg_answer,disapproval
rudabank_2007,thanking,thanking
rudabank_406,disapproval,avoiding
rudabank_1473,opening,opening
rudabank_1468,opening,opening
rudabank_414,open_question,back-channeling
rudabank_2232,open_question,yes_no_question
rudabank_408,disapproval,avoiding
rudabank_651,closing,closing
rudabank_1422,opening,opening
rudabank_555,pos_answer,back-channeling
rudabank_445,open_question,back-channeling
rudabank_530,back-channeling,back-channeling
rudabank_926,disapproval,disapproval
rudabank_1717,pos_answer,pos_answer
rudabank_1832,appreciation,statement
rudabank_1161,neg_answer,neg_answer
rudabank_426,yes_no_question,back-channeling
rudabank_18,apology,apology
rudabank_1303,open_question,open_question
rudabank_1185,open_question,open_question
rudabank_2164,yes_no_question,yes_no_question
rudabank_1628,statement,other_answers
rudabank_759,open_question,command
rudabank_67,apology,apology
rudabank_1562,statement,other_answers
rudabank_1337,opening,opening
rudabank_1334,statement,opening
rudabank_1210,avoiding,open_question
rudabank_2128,yes_no_question,yes_no_question
rudabank_168,appreciation,appreciation
rudabank_621,closing,closing
rudabank_1784,statement,statement
rudabank_1932,statement,statement
rudabank_1850,statement,statement
rudabank_495,open_question,back-channeling
rudabank_251,appreciation,appreciation
rudabank_1709,pos_answer,pos_answer
rudabank_2209,open_question,yes_no_question
rudabank_952,disapproval,disapproval
