text,first span,second span,correct_answer,answer
"На острове Антигуа открылся ""совершенно легальный пиратский интернет-сервис"".
Администрация сайта утверждает, что в закромах имеется полторы тысячи кинофильмов и 50 тысяч музыкальных композиций. Желающие их скачать должны оформить подписку стоимостью 9,95 доллара в месяц.","""совершенно легальный пиратский интернет-сервис""",сайта,True,False
"""Когда представитель ФСБ поедет в следующий раз для участия в судебном заседании, то расходы на ее проезд также будут финансироваться из федерального бюджета, а те деньги, которые будут взысканы с заявителя в рамках возмещения судебных расходов, тоже поступят в федеральный бюджет. Смысла перекладывать деньги государства из одного кармана в другой мы не видим"", - резюмировал он.",представитель ФСБ,заявителя,False,False
"Как известно, в сентябре Верховная Рада поддержала внесенный президентом Петром Порошенко законопроект об амнистии участникам конфликта на Донбассе. Тогда же парламент установил особый статус для некоторых районов Донецкой и Луганской областей. Закон ""Об особом порядке местного самоуправления в отдельных районах Донецкой и Луганской областей"" вступил в силу 18 октября. Однако украинский президент отозвал этот закон после того, как 2 ноября на Донбассе прошли выборы в местные органы власти. Результаты голосования ни в Киев, ни на Западе не признали.",законопроект об амнистии участникам конфликта на Донбассе,Донбассе,False,False
"Президент РФ Владимир Путин 18 марта, в день второй годовщины присоединения Крыма к России, совершит рабочую поездку на полуостров. Глава государства ознакомится с ходом строительства моста через Керченский пролив на острове Тузла, говорится в сообщении на сайте Кремля.",Крыма,полуостров,True,False
"Нацболы координируют протестные действия с ""так называемой непримиримой оппозицией"" - ""Другой Россией"" и РНДС экс-премьера Михаила Касьянова, обучают молодежь ""теории и практике силового противостояния правоохранительным органам на примере цветных революций в Грузии, Киргизии и на Украине"". Скоординированность действий оппозиционеров свидетельствует о ""централизованном воздействии на них со стороны идеологов ""демократизации"" России по западному образцу"", подчеркивает Генпрокуратура. По ее мнению, опасны и сторонники русского национализма.",Нацболы,"""так называемой непримиримой оппозицией""",False,False
"Ранее Рязанский назвал случай с выплатами футболистам ""Зенита"" ""вопиющим"". В свою очередь, председатель ФСС Сергей Афанасьев сообщил сенаторам, что по результатам переговоров регионального отделения ФСС с руководством ""Зенита"" футбольный клуб готов прекратить практику оформления спортивных травм как временной нетрудоспособности.","""Зенита""",футбольный клуб,True,False
"Остальные европейские монархии обходятся своим подданным дешевле: Испания, Швеция, Дания, Бельгия и Норвегия тратят на королевские семьи от 8,8 до 28 млн евро ежегодно. Наиболее ""бюджетной"" является монархия в Люксембурге - великому герцогу Анри и его семье достаточно всего 8,7 млн евро в год.",Бельгия,монархия в Люксембурге,False,False
"Альфа-банк продолжает скупать долги пострадавших от кризиса девелоперов. Теперь ""Альфа"" выкупила часть долга группы ПИК у Номос-банка и банкиры отсудили акции компании, пишут ""Ведомости"".",девелоперов,банкиры,False,False
"Представитель СКР в свою очередь так прокомментировал дачу Развозжаевым признательных показаний и последующий отказ от них: ""А как можно комментировать поступки людей, которые постоянно меняют свои показания и сегодня говорят одно, а через несколько дней кардинально противоположное? Чем, например, можно объяснить, почему супруга Развозжаева Ольга Смирнова 22 октября на допросе у следователя в качестве свидетеля в присутствии адвоката дает показания о том, что 19 октября ее муж был дома, причем точно помнит, что это была пятница, подробно рассказывает, чем он занимался и как общался с детьми, а буквально через день она резко меняет свои показания и заявляет, что все это было не 19, а 12 октября?""",Развозжаевым,ее муж,True,False
"Экс-командующий Черноморским флотом адмирал Владимир Комоедов, ныне председатель комитета Госдумы по обороне, комментируя озвученные главой государства требования по развитию арктического региона, заявил, что военное присутствие России в Арктике не позволит ""обиженной"" Америке претендовать на территории и природные ресурсы РФ.",РФ,государства,True,False
