task_id,answer,correct_answer
disrpt_0,elaboration,elaboration
disrpt_1,elaboration,elaboration
disrpt_2,elaboration,joint
disrpt_3,solutionhood,solutionhood
disrpt_4,elaboration,elaboration
disrpt_5,sequence,cause
disrpt_6,alternative,contrast
disrpt_7,sequence,sequence
disrpt_8,evaluation,joint
disrpt_9,solutionhood,purpose
disrpt_10,contrast,contrast
disrpt_11,elaboration,preparation
disrpt_12,concession,concession
disrpt_13,concession,concession
disrpt_14,elaboration,preparation
disrpt_15,background,preparation
disrpt_16,elaboration,joint
disrpt_17,elaboration,elaboration
disrpt_18,contrast,contrast
disrpt_19,elaboration,restatement
disrpt_20,elaboration,joint
disrpt_21,elaboration,purpose
disrpt_22,background,elaboration
disrpt_23,purpose,purpose
disrpt_24,solutionhood,elaboration
disrpt_25,cause-effect,elaboration
disrpt_26,elaboration,joint
disrpt_27,elaboration,joint
disrpt_28,elaboration,elaboration
disrpt_29,evidence,elaboration
disrpt_30,background,preparation
disrpt_31,attribution,attribution
disrpt_32,elaboration,purpose
disrpt_33,elaboration,preparation
disrpt_34,elaboration,joint
disrpt_35,background,elaboration
disrpt_36,sequence,cause
disrpt_37,contrast,contrast
disrpt_38,attribution,attribution
disrpt_39,elaboration,joint
disrpt_40,elaboration,attribution
disrpt_41,cause,contrast
disrpt_42,comparison,joint
disrpt_43,elaboration,elaboration
disrpt_44,purpose,purpose
disrpt_45,elaboration,elaboration
disrpt_46,cause-effect,evidence
disrpt_47,contrast,joint
disrpt_48,contrast,contrast
disrpt_49,elaboration,elaboration
disrpt_50,elaboration,solutionhood
disrpt_51,elaboration,joint
disrpt_52,elaboration,evidence
disrpt_53,cause-effect,joint
disrpt_54,sequence,joint
disrpt_55,elaboration,preparation
disrpt_56,sequence,elaboration
disrpt_57,elaboration,attribution
disrpt_58,elaboration,cause
disrpt_59,cause,elaboration
disrpt_60,elaboration,joint
disrpt_61,elaboration,elaboration
disrpt_62,effect,cause
disrpt_63,background,preparation
disrpt_64,cause-effect,joint
disrpt_65,elaboration,preparation
disrpt_66,evaluation,evaluation
disrpt_67,elaboration,joint
disrpt_68,cause-effect,cause
disrpt_69,cause,elaboration
disrpt_70,cause,contrast
disrpt_71,cause-effect,elaboration
disrpt_72,condition,condition
disrpt_73,sequence,elaboration
disrpt_74,elaboration,joint
disrpt_75,elaboration,attribution
disrpt_76,elaboration,elaboration
disrpt_77,elaboration,elaboration
disrpt_78,cause,elaboration
disrpt_79,evaluation,evaluation
disrpt_80,contrast,contrast
disrpt_81,restatement,condition
disrpt_82,elaboration,elaboration
disrpt_83,cause-effect,elaboration
disrpt_84,evidence,evidence
disrpt_85,condition,condition
disrpt_86,elaboration,evaluation
disrpt_87,restatement,restatement
disrpt_88,elaboration,elaboration
disrpt_89,contrast,preparation
disrpt_90,elaboration,attribution
disrpt_91,evaluation,evaluation
disrpt_92,concession,contrast
disrpt_93,sequence,joint
disrpt_94,elaboration,attribution
disrpt_95,antithesis,preparation
disrpt_96,effect,joint
disrpt_97,sequence,sequence
disrpt_98,condition,condition
disrpt_99,elaboration,elaboration
disrpt_100,elaboration,joint
disrpt_101,elaboration,elaboration
disrpt_102,elaboration,condition
disrpt_103,background,background
disrpt_104,cause,cause
disrpt_105,cause-effect,joint
disrpt_106,elaboration,elaboration
disrpt_107,concession,concession
disrpt_108,background,preparation
disrpt_109,elaboration,joint
disrpt_110,evaluation,evaluation
disrpt_111,elaboration,joint
disrpt_112,elaboration,elaboration
disrpt_113,evidence,contrast
disrpt_114,cause-effect,background
disrpt_115,elaboration,elaboration
disrpt_116,contrast,background
disrpt_117,contrast,contrast
disrpt_118,evidence,attribution
disrpt_119,elaboration,joint
disrpt_120,motivation,joint
disrpt_121,elaboration,joint
disrpt_122,elaboration,elaboration
disrpt_123,elaboration,evaluation
disrpt_124,elaboration,attribution
disrpt_125,elaboration,elaboration
disrpt_126,cause-effect,elaboration
disrpt_127,elaboration,joint
disrpt_128,elaboration,joint
disrpt_129,elaboration,elaboration
disrpt_130,contrast,elaboration
disrpt_131,elaboration,elaboration
disrpt_132,sequence,joint
disrpt_133,evidence,elaboration
disrpt_134,elaboration,preparation
disrpt_135,elaboration,joint
disrpt_136,joint,joint
disrpt_137,elaboration,joint
disrpt_138,elaboration,preparation
disrpt_139,evidence,contrast
disrpt_140,elaboration,evaluation
disrpt_141,contrast,contrast
disrpt_142,sequence,joint
disrpt_143,concession,concession
disrpt_144,elaboration,attribution
disrpt_145,elaboration,joint
disrpt_146,purpose,elaboration
disrpt_147,elaboration,joint
disrpt_148,elaboration,elaboration
disrpt_149,elaboration,cause-effect
disrpt_150,joint,joint
disrpt_151,cause,cause
disrpt_152,contrast,elaboration
disrpt_153,elaboration,concession
disrpt_154,elaboration,attribution
disrpt_155,elaboration,elaboration
disrpt_156,attribution,attribution
disrpt_157,elaboration,elaboration
disrpt_158,elaboration,joint
disrpt_159,elaboration,evaluation
disrpt_160,elaboration,attribution
disrpt_161,cause,cause-effect
disrpt_162,elaboration,preparation
disrpt_163,elaboration,elaboration
disrpt_164,elaboration,joint
disrpt_165,antithesis,joint
disrpt_166,elaboration,elaboration
disrpt_167,elaboration,elaboration
disrpt_168,elaboration,contrast
disrpt_169,comparison,comparison
disrpt_170,contrast,contrast
disrpt_171,elaboration,elaboration
disrpt_172,sequence,sequence
disrpt_173,elaboration,joint
disrpt_174,concession,contrast
disrpt_175,effect,preparation
disrpt_176,cause-effect,evidence
disrpt_177,elaboration,evaluation
disrpt_178,elaboration,background
disrpt_179,cause,cause
disrpt_180,purpose,purpose
disrpt_181,sequence,joint
disrpt_182,cause-effect,cause
disrpt_183,elaboration,elaboration
disrpt_184,elaboration,elaboration
disrpt_185,cause,cause
disrpt_186,purpose,purpose
disrpt_187,evaluation,evaluation
disrpt_188,contrast,contrast
disrpt_189,contrast,contrast
disrpt_190,elaboration,elaboration
disrpt_191,background,background
disrpt_192,elaboration,preparation
disrpt_193,elaboration,joint
disrpt_194,restatement,elaboration
disrpt_195,cause,cause
disrpt_196,elaboration,contrast
disrpt_197,elaboration,attribution
disrpt_198,condition,condition
disrpt_199,elaboration,preparation
disrpt_200,elaboration,elaboration
disrpt_201,elaboration,elaboration
disrpt_202,elaboration,elaboration
disrpt_203,cause,elaboration
disrpt_204,elaboration,joint
disrpt_205,elaboration,elaboration
disrpt_206,effect,joint
disrpt_207,elaboration,joint
disrpt_208,sequence,joint
disrpt_209,elaboration,contrast
disrpt_210,elaboration,joint
disrpt_211,elaboration,elaboration
disrpt_212,elaboration,evaluation
disrpt_213,elaboration,elaboration
disrpt_214,elaboration,elaboration
disrpt_215,elaboration,elaboration
disrpt_216,elaboration,joint
disrpt_217,purpose,purpose
disrpt_218,restatement,joint
disrpt_219,sequence,joint
disrpt_220,sequence,sequence
disrpt_221,elaboration,evaluation
disrpt_222,contrast,contrast
disrpt_223,elaboration,joint
disrpt_224,elaboration,solutionhood
disrpt_225,condition,condition
disrpt_226,purpose,purpose
disrpt_227,elaboration,joint
disrpt_228,attribution,attribution
