task_id,answer,correct_answer
idiom_example_394,0,1
idiom_example_382,1,1
idiom_example_151,0,1
idiom_example_336,1,1
idiom_example_179,1,1
idiom_example_303,1,1
idiom_example_97,1,1
idiom_example_204,1,1
idiom_example_143,1,1
idiom_example_3,1,1
idiom_example_209,1,1
idiom_example_95,1,1
idiom_example_467,1,1
idiom_example_54,0,1
idiom_example_475,0,1
idiom_example_344,0,1
idiom_example_364,0,1
idiom_example_234,1,1
idiom_example_178,0,1
idiom_example_28,1,1
idiom_example_352,0,1
idiom_example_443,0,1
idiom_example_59,0,1
idiom_example_412,1,1
idiom_example_32,1,1
idiom_example_474,0,1
idiom_example_104,1,1
idiom_example_167,0,1
idiom_example_266,0,1
idiom_example_362,1,1
idiom_example_237,0,1
idiom_example_180,0,1
idiom_example_19,0,1
idiom_example_218,1,1
idiom_example_264,1,1
idiom_example_480,1,1
idiom_example_120,0,1
idiom_example_171,1,1
idiom_example_229,1,1
idiom_example_401,1,1
idiom_example_53,0,1
idiom_example_222,1,1
idiom_example_451,1,1
idiom_example_274,1,1
idiom_example_262,1,1
idiom_example_431,1,1
idiom_example_240,0,1
idiom_example_184,1,1
idiom_example_22,0,1
idiom_example_410,1,1
idiom_example_196,1,1
idiom_example_272,1,1
idiom_example_422,1,1
idiom_example_424,0,1
idiom_example_5,1,1
idiom_example_241,1,1
idiom_example_226,1,1
idiom_example_339,1,1
idiom_example_177,0,1
idiom_example_348,0,1
idiom_example_356,0,1
idiom_example_250,0,1
idiom_example_279,1,1
idiom_example_72,0,1
idiom_example_383,1,1
idiom_example_119,0,1
idiom_example_60,0,1
idiom_example_457,1,1
idiom_example_248,1,1
idiom_example_52,1,1
idiom_example_361,1,1
idiom_example_370,0,1
idiom_example_290,1,1
idiom_example_100,1,1
idiom_example_340,1,1
idiom_example_405,1,1
idiom_example_398,0,1
idiom_example_363,1,1
idiom_example_66,1,1
idiom_example_12,1,1
idiom_example_132,1,1
idiom_example_91,1,1
idiom_example_470,0,1
idiom_example_181,1,1
idiom_example_271,1,1
idiom_example_426,1,1
idiom_example_269,1,1
idiom_example_368,1,1
idiom_example_6,1,1
idiom_example_366,0,1
idiom_example_145,1,1
idiom_example_78,1,1
idiom_example_311,1,1
idiom_example_244,1,1
idiom_example_456,1,1
idiom_example_403,0,1
idiom_example_399,1,1
idiom_example_283,0,1
idiom_example_152,0,1
idiom_example_84,0,1
