task_id,answer,correct_answer
idiom_example_194,1,1
idiom_example_338,1,1
idiom_example_54,0,1
idiom_example_469,1,1
idiom_example_236,0,1
idiom_example_91,1,1
idiom_example_332,0,1
idiom_example_182,0,1
idiom_example_200,1,1
idiom_example_27,1,1
idiom_example_421,0,1
idiom_example_86,0,1
idiom_example_165,1,1
idiom_example_185,1,1
idiom_example_260,1,1
idiom_example_270,1,1
idiom_example_329,1,1
idiom_example_180,1,1
idiom_example_223,1,1
idiom_example_143,1,1
idiom_example_275,1,1
idiom_example_40,1,1
idiom_example_230,1,1
idiom_example_442,0,1
idiom_example_221,1,1
idiom_example_73,0,1
idiom_example_162,1,1
idiom_example_267,1,1
idiom_example_342,1,1
idiom_example_302,0,1
idiom_example_118,0,1
idiom_example_17,0,1
idiom_example_189,2,1
idiom_example_25,0,1
idiom_example_455,0,1
idiom_example_254,1,1
idiom_example_279,1,1
idiom_example_89,1,1
idiom_example_8,1,1
idiom_example_402,1,1
idiom_example_363,0,1
idiom_example_66,0,1
idiom_example_127,0,1
idiom_example_156,0,1
idiom_example_464,0,1
idiom_example_213,1,1
idiom_example_276,0,1
idiom_example_239,0,1
idiom_example_430,1,1
idiom_example_419,1,1
idiom_example_102,1,1
idiom_example_71,1,1
idiom_example_449,1,1
idiom_example_428,1,1
idiom_example_300,1,1
idiom_example_205,0,1
idiom_example_483,1,1
idiom_example_296,0,1
idiom_example_374,1,1
idiom_example_293,1,1
idiom_example_282,0,1
idiom_example_61,1,1
idiom_example_471,1,1
idiom_example_273,1,1
idiom_example_288,1,1
idiom_example_53,1,1
idiom_example_379,1,1
idiom_example_99,0,1
idiom_example_304,1,1
idiom_example_487,0,1
idiom_example_438,1,1
idiom_example_130,1,1
idiom_example_412,0,1
idiom_example_222,1,1
idiom_example_103,1,1
idiom_example_287,1,1
idiom_example_336,1,1
idiom_example_375,1,1
idiom_example_163,1,1
idiom_example_15,0,1
idiom_example_177,1,1
idiom_example_486,1,1
idiom_example_203,1,1
idiom_example_233,0,1
idiom_example_157,1,1
idiom_example_397,0,1
idiom_example_206,0,1
idiom_example_129,1,1
idiom_example_328,1,1
idiom_example_83,0,1
idiom_example_357,1,1
idiom_example_136,0,1
idiom_example_445,0,1
idiom_example_179,1,1
idiom_example_362,1,1
idiom_example_5,1,1
idiom_example_1,1,1
idiom_example_219,1,1
idiom_example_348,0,1
idiom_example_186,1,1
