task_id,answer,correct_answer
idiom_multiple_260,1,1
idiom_multiple_197,2,2
idiom_multiple_149,0,0
idiom_multiple_126,1,1
idiom_multiple_212,2,1
idiom_multiple_180,0,0
idiom_multiple_37,2,0
idiom_multiple_145,0,0
idiom_multiple_263,1,1
idiom_multiple_51,0,0
idiom_multiple_132,0,0
idiom_multiple_33,0,0
idiom_multiple_262,1,1
idiom_multiple_200,0,0
idiom_multiple_353,2,1
idiom_multiple_207,1,1
idiom_multiple_306,2,2
idiom_multiple_323,0,0
idiom_multiple_347,1,0
idiom_multiple_216,1,0
idiom_multiple_355,2,1
idiom_multiple_328,2,0
idiom_multiple_64,0,0
idiom_multiple_357,0,1
idiom_multiple_164,,0
idiom_multiple_314,0,0
idiom_multiple_133,0,2
idiom_multiple_41,2,2
idiom_multiple_53,0,0
idiom_multiple_19,0,0
idiom_multiple_308,0,0
idiom_multiple_18,1,1
idiom_multiple_17,1,1
idiom_multiple_189,2,2
idiom_multiple_257,1,1
idiom_multiple_281,2,0
idiom_multiple_166,0,0
idiom_multiple_339,0,0
idiom_multiple_330,1,1
idiom_multiple_186,2,1
idiom_multiple_47,2,0
idiom_multiple_261,1,1
idiom_multiple_293,1,0
idiom_multiple_109,0,0
idiom_multiple_206,1,1
idiom_multiple_9,2,0
idiom_multiple_236,1,1
idiom_multiple_163,1,1
idiom_multiple_175,0,1
idiom_multiple_5,1,2
idiom_multiple_123,2,0
idiom_multiple_74,1,0
idiom_multiple_211,0,1
idiom_multiple_213,0,0
idiom_multiple_276,0,0
idiom_multiple_215,1,2
idiom_multiple_258,1,2
idiom_multiple_309,0,0
idiom_multiple_129,0,0
idiom_multiple_187,0,0
idiom_multiple_173,2,2
idiom_multiple_327,0,0
idiom_multiple_4,2,1
idiom_multiple_139,0,1
idiom_multiple_60,0,0
idiom_multiple_143,0,1
idiom_multiple_320,0,0
idiom_multiple_43,1,1
idiom_multiple_294,0,0
idiom_multiple_333,0,0
idiom_multiple_90,1,0
idiom_multiple_272,0,0
idiom_multiple_167,0,0
idiom_multiple_75,0,2
idiom_multiple_359,1,1
idiom_multiple_270,2,2
idiom_multiple_232,0,0
idiom_multiple_217,2,0
idiom_multiple_241,0,0
idiom_multiple_128,0,0
idiom_multiple_119,1,0
idiom_multiple_318,1,1
idiom_multiple_204,0,1
idiom_multiple_25,0,0
idiom_multiple_205,1,0
idiom_multiple_66,0,0
idiom_multiple_106,0,0
idiom_multiple_301,0,0
idiom_multiple_16,0,0
idiom_multiple_6,2,0
idiom_multiple_228,0,0
idiom_multiple_351,2,0
idiom_multiple_290,1,0
idiom_multiple_278,0,0
idiom_multiple_115,0,0
idiom_multiple_315,1,1
idiom_multiple_170,0,0
idiom_multiple_252,2,1
idiom_multiple_103,1,1
idiom_multiple_58,2,1
