text,first span,second span,correct_answer,answer
"Госдума в среду поддержала внесенный президентом РФ закон о введении моратория на участие России в Договоре об обычных Вооруженных силах в Европе (ДОВСЕ). Это решение не имеет прецедентов в новейшей истории России, передает РИА ""Новости"". Напомним, накануне Госдеп США объявил о готовности пойти на уступки ради того, чтобы Кремль не разрывал договора.",моратория на участие России в Договоре об обычных Вооруженных силах в Европе,договора,False,False
"Девятый арбитражный апелляционный суд в среду оставил в силе решение Арбитражного суда Москвы, подтвердившего действительность аукциона по продаже акций ""Юганскнефтегаза"". Тем самым суд отклонил апелляционную жалобу НК ЮКОС. Суд также отказал ЮКОСу в возмещении убытков, понесенных в результате аукциона, которые оценивались более чем в 324 млрд рублей.",Арбитражного суда Москвы,суд,False,False
"Читинский областной суд отклонил во вторник кассацию прокуратуры на решение Ингодинского районного суда Читы по жалобе бывшего главы МФО МЕНАТЕП Платона Лебедева на следователя Генпрокуратуры. ""Судебная коллегия по уголовным делам указала на необоснованность кассационного представления и надуманность аргументов"", - сообщил агентству ""Интерфакс"" адвокат Лебедева Владимир Краснов.",прокуратуры,Судебная коллегия по уголовным делам,False,False
"В минувшую среду он, например, посчитал вполне нормальным при резюмировании итогов социологического исследования назвать основными ценностями среди молодежи ""секс и деньги"". Тогда как на самом деле в исследовании ""материальная обеспеченность"" заняла 7-ю строчку из 9-ти, а ""секс"" - и вовсе последнюю в рейтинге приоритетных ценностей, полученном в результате опроса. Заявление Астахова было быстро подхвачено СМИ, а на последовавшее следом за ним опровержение от МГУ, на базе которого проводилось исследование, никто уже не обратил никакого внимания"".",исследовании,Заявление Астахова,False,False
"""Русские опасаются, что боевики, возвращаясь из ИГ, снова принесут терроризм на Северный Кавказ и в Россию в целом. Разумеется, если они вернутся с победой, - говорит немецкий эксперт по терроризму Удо Штайнбах, которого цитирует InoPressa. - Они захотят вести освободительную войну во имя Аллаха"". Их ненависть к России, по словам эксперта, имеет глубокие исторические корни: ""Народы Северного Кавказа ведут борьбу с Россией с XIX века. Чеченцы никогда не смирялись с потерей собственной независимости"".",немецкий эксперт по терроризму Удо Штайнбах,эксперта,True,False
"Украинские коммунисты уже потребовали от Генпрокурора немедленно взять под стражу экс-президента Украины Кучму, который сейчас находится в Карловых Варах на вилле Назарбаева. Член фракции Игорь Алексеев заявил в парламенте, что в связи ""с загадочной смертью бывшего министра внутренних дел"" коммунисты требуют взять под стражу ""главного фигуранта преступной политики последних десятилетий Леонида Кучму"".","""главного фигуранта преступной политики последних десятилетий Леонида Кучму""",бывшего министра внутренних дел,False,False
"По данным представителей ISAF, военнослужащий Австралии и афганский переводчик в воскресенье подорвались на фугасе в провинции Урузган. Состояние афганца крайне тяжелое, в то время как австралийца - удовлетворительное. Смешанный австралийско-афганский патруль находился в районе Мирабад, когда произошел этот инцидент. Оба раненых были эвакуированы вертолетом в военный госпиталь города Таринкот.",афганца,военнослужащий Австралии,False,False
"Кроме того, в подписанной Владимиром Путиным и Ху Цзиньтао совместной Декларации говориться, что Москва и Пекин намерены прилагать дальнейшие усилия для решения ядерной проблемы Корейского полуострова дипломатическим путем. ""Россия и Китай подтверждают свою неизменную позицию в пользу безъядерного статуса Корейского полуострова, обеспечение которого имеет жизненно важное значение для мира, безопасности и стабильности в АТР"", - говорится в декларации.",Пекин,Корейского полуострова,False,False
"Германская прокуратура не сомневается в успешном итоге судебного процесса, указывая на обилие вещественных доказательств, в том числе автоматов Калашникова, гранатометов, пистолетов, ножей и абордажных лестниц. Тем не менее, ход процесса обещает быть напряженным, отмечает радиостанция.",пистолетов,автоматов Калашникова,False,False
"Между тем его коллеги из здания на Охотном ряду считают, что правил можно придумать сколько угодно, но когда придет время их выполнять, то найти ответственного человека, как обычно, не получится. Кроме того, глава Движения автомобилистов России Виктор Похмелкин заметил, что Федоров всегда поддерживал только репрессивные поправки, и ""если он и предлагает смягчение, то оно все равно в итоге будет с коррупционным налетом"". Депутат назвал законопроект ""неполным"", так как он не содержит правил регистрации автомобиля и техосмотра.",Депутат,глава Движения автомобилистов России Виктор Похмелкин,True,False
