task_id,answer,correct_answer
idiom_literal_117,1,1
idiom_literal_252,1,0
idiom_literal_355,0,1
idiom_literal_308,1,0
idiom_literal_471,1,1
idiom_literal_184,1,1
idiom_literal_432,0,0
idiom_literal_14,1,0
idiom_literal_285,1,0
idiom_literal_30,1,1
idiom_literal_199,1,1
idiom_literal_38,1,1
idiom_literal_439,1,1
idiom_literal_178,1,0
idiom_literal_53,0,0
idiom_literal_382,0,0
idiom_literal_76,1,1
idiom_literal_338,0,0
idiom_literal_92,1,1
idiom_literal_295,1,0
idiom_literal_90,1,1
idiom_literal_438,1,1
idiom_literal_107,1,1
idiom_literal_242,1,0
idiom_literal_139,1,0
idiom_literal_379,1,1
idiom_literal_153,1,1
idiom_literal_387,0,0
idiom_literal_63,0,1
idiom_literal_232,1,1
idiom_literal_62,1,1
idiom_literal_414,1,0
idiom_literal_445,0,0
idiom_literal_470,1,1
idiom_literal_155,1,0
idiom_literal_330,1,1
idiom_literal_386,0,0
idiom_literal_436,1,0
idiom_literal_464,0,1
idiom_literal_270,1,1
idiom_literal_56,0,0
idiom_literal_381,1,1
idiom_literal_482,0,1
idiom_literal_259,1,1
idiom_literal_370,1,1
idiom_literal_182,1,1
idiom_literal_391,1,0
idiom_literal_210,1,1
idiom_literal_282,1,1
idiom_literal_179,1,1
idiom_literal_67,0,1
idiom_literal_152,1,1
idiom_literal_167,1,0
idiom_literal_405,1,1
idiom_literal_65,0,1
idiom_literal_213,1,0
idiom_literal_248,1,1
idiom_literal_221,1,1
idiom_literal_396,0,0
idiom_literal_126,1,1
idiom_literal_451,1,1
idiom_literal_486,0,0
idiom_literal_97,1,1
idiom_literal_149,1,1
idiom_literal_111,1,0
idiom_literal_352,1,1
idiom_literal_99,0,1
idiom_literal_136,1,0
idiom_literal_196,1,1
idiom_literal_327,1,1
idiom_literal_51,1,1
idiom_literal_311,1,1
idiom_literal_154,1,1
idiom_literal_228,0,0
idiom_literal_55,1,1
idiom_literal_466,0,0
idiom_literal_230,1,1
idiom_literal_269,1,1
idiom_literal_446,0,0
idiom_literal_266,1,1
idiom_literal_263,1,1
idiom_literal_204,0,0
idiom_literal_191,1,0
idiom_literal_498,0,0
idiom_literal_324,0,0
idiom_literal_372,1,1
idiom_literal_145,1,1
idiom_literal_288,1,0
idiom_literal_276,1,0
idiom_literal_41,1,1
idiom_literal_473,1,1
idiom_literal_95,1,1
idiom_literal_399,1,1
idiom_literal_286,1,0
idiom_literal_289,0,0
idiom_literal_177,1,0
idiom_literal_141,1,1
idiom_literal_188,1,1
idiom_literal_128,1,1
idiom_literal_143,1,1
