task_id,answer,correct_answer
idiom_literal_242,1,0
idiom_literal_380,0,0
idiom_literal_489,1,1
idiom_literal_428,1,0
idiom_literal_170,1,0
idiom_literal_237,1,1
idiom_literal_357,1,1
idiom_literal_403,1,0
idiom_literal_5,1,1
idiom_literal_421,1,0
idiom_literal_57,1,1
idiom_literal_498,1,0
idiom_literal_284,1,1
idiom_literal_218,1,1
idiom_literal_359,1,1
idiom_literal_282,1,1
idiom_literal_415,1,0
idiom_literal_44,1,1
idiom_literal_368,1,1
idiom_literal_111,1,0
idiom_literal_7,1,0
idiom_literal_339,1,0
idiom_literal_458,1,0
idiom_literal_153,1,1
idiom_literal_1,1,0
idiom_literal_23,1,1
idiom_literal_74,1,1
idiom_literal_443,1,1
idiom_literal_460,1,0
idiom_literal_481,1,1
idiom_literal_84,1,1
idiom_literal_264,1,1
idiom_literal_161,1,1
idiom_literal_147,1,0
idiom_literal_72,1,1
idiom_literal_371,1,1
idiom_literal_308,1,0
idiom_literal_226,1,1
idiom_literal_349,1,0
idiom_literal_222,1,1
idiom_literal_381,1,1
idiom_literal_174,1,1
idiom_literal_352,1,1
idiom_literal_9,1,1
idiom_literal_182,1,1
idiom_literal_236,1,1
idiom_literal_45,1,1
idiom_literal_437,1,0
idiom_literal_205,1,1
idiom_literal_471,1,1
idiom_literal_299,1,1
idiom_literal_434,1,0
idiom_literal_304,1,1
idiom_literal_212,1,1
idiom_literal_324,1,0
idiom_literal_383,1,0
idiom_literal_201,1,1
idiom_literal_244,1,1
idiom_literal_178,1,0
idiom_literal_412,1,0
idiom_literal_367,1,0
idiom_literal_190,1,0
idiom_literal_3,1,0
idiom_literal_312,1,0
idiom_literal_221,1,1
idiom_literal_152,1,1
idiom_literal_320,1,0
idiom_literal_386,1,0
idiom_literal_230,1,1
idiom_literal_474,1,1
idiom_literal_118,1,0
idiom_literal_394,1,0
idiom_literal_343,1,1
idiom_literal_32,1,0
idiom_literal_29,1,1
idiom_literal_176,1,1
idiom_literal_64,1,1
idiom_literal_448,0,0
idiom_literal_337,0,0
idiom_literal_215,1,0
idiom_literal_166,1,0
idiom_literal_36,1,0
idiom_literal_480,1,0
idiom_literal_402,1,0
idiom_literal_101,1,1
idiom_literal_163,1,0
idiom_literal_295,1,0
idiom_literal_426,1,0
idiom_literal_441,1,0
idiom_literal_91,1,1
idiom_literal_425,1,0
idiom_literal_211,0,1
idiom_literal_307,1,0
idiom_literal_475,0,0
idiom_literal_330,1,1
idiom_literal_122,1,0
idiom_literal_457,1,1
idiom_literal_331,1,1
idiom_literal_340,1,1
idiom_literal_172,1,0
