text,quest pronoun,variants,correct_answer,answer
"Как пишет газета, поравнявшись на Каширском шоссе с экипажем ДПС, водитель и пассажир открыли окна и демонстративно выпили по стакану коньяка на глазах у инспекторов. Сразу после этого они промчались на красный свет и сбили Ильина. Водителю удалось сбежать, пишет ""МК"", его приятеля и девушку задержали и допросили. Как рассказали задержанные, с автовладельцем и водителем они познакомились недавно.",его,"['автовладельцем', 'Ильина', 'Водителю']",3,3
"Задержанный уже дал признательные показания и сейчас находится в СИЗО. Он утверждает, что мальчик оскорбил его грубым словом, в ответ на которое тот стал избивать малыша. Как рассказал порталу начальник следственного отдела по Центральному району Читы Андрей Беспечанский, на бесчеловечную жестокость подростка спровоцировало слово ""лох"".",тот,"['мальчик', 'Задержанный', 'малыша']",2,2
"Во вторник директор Центра профессор Халил Шикаки подчеркнул, что эти опросы проводились до убийства Ясина. Он сказал: ""Наблюдается продолжающаяся тенденция роста популярности ""Хамас"" и ослабления позиций ""Фатх"". Очевидно, что убийство Ясина и активизация израильских военных усилит эту тенденцию"".",Он,"['""Хамас""', 'Ясина', 'директор Центра профессор Халил Шикаки']",3,3
"Глава ""Роснефти"" Игорь Сечин строит дом в Барвихе на земле, покупка которой по рыночной стоимости обошлась бы более чем в 110 млн долларов, утверждают ""Ведомости"". При этом его соседка, супруга Сергея Чемезова, выставила свой только что построенный дворец на продажу.",свой,"['его соседка, супруга Сергея Чемезова', '""Ведомости""', 'Сергея Чемезова']",1,1
"Хоккеисты нижегородского ""Торпедо"" на своем льду со счетом 3:2 переиграли финский ""Йокерит"" в шестом матче 1/8 плей-офф Континентальной хоккейной лиги (КХЛ) и пробились в следующий раунд розыгрыша Кубка Гагарина.",своем,"['Хоккеисты нижегородского ""Торпедо""', 'Континентальной хоккейной лиги', 'финский ""Йокерит""']",1,1
"В середине апреля у Воронцова прошел обыск по делу о распространении недостоверной информации. Как утверждали тогда в СК РФ, анонимный пользователь ""Владимир Воронцов"" распространил ложную информацию о том, что курсантов и офицеров одного из военных учебных заведений, в котором насчитывается 70% заболевших коронавирусом, заставляют делать утреннюю зарядку. Воронцов после обыска остался в статусе свидетеля. После этого, по словам ""омбудсмена полиции"", сотрудники управления собственной безопасности МВД посетили его знакомых из числа бывших и действующих сотрудников полиции. Их уговаривали дать показания на Воронцова, однако они отказались и сообщили об этом ""омбудсмену полиции"".",котором,"['СК РФ', 'Воронцов', 'одного из военных учебных заведений']",3,3
"В ряде европейских стран прошли митинги в поддержку чеченских геев. В частности, как сообщает Delfi, в минувшую субботу, 13 мая, у посольства России в Вильнюсе состоялась акция протеста против нарушений прав сексуальных меньшинств в Чечне, которую организовала Лига геев Литвы.",которую,"['России', 'акция протеста против нарушений прав сексуальных меньшинств в Чечне', 'Чечне']",2,2
"По его мнению, сейчас в мире насчитывается не более 10-ти великих тренеров, таких, как Хитцфельд, Липпи, Капелло, Фергюссон, но все они заняты. ""А брать какого-то среднего специалиста нет смысла. Они ничем не превосходят российских коллег, в числе которых на пост главного тренера сборной России чаще всего называют Валерия Газзаева и Юрия Семина"", - считает президент РФС.",Они,"['российских коллег', 'все они', 'какого-то среднего специалиста']",3,3
"Вводить ограничения в отношении журналистов не стали, поскольку санкции WADA этого не требуют. При этом в федерации подчеркнули, что журналистам запрещено передавать российским спортсменам государственную символику, так что финишировать с государственным флагом в гонках им не удастся.",им,"['журналистам', 'российским спортсменам', 'WADA']",2,2
"По словам источника в АМАНе, террористы разрабатывали операцию по захвату израильского военнослужащего в течение более двух месяцев. Он отметил, что глава политбюро ""Хамаса"" Халид Машаль поддерживает связь из Дамаска с главарем военизированного крыла ""Хамаса"" Ахмадом Джабри, которого израильские спецслужбы считают ответственным за захват военнослужащего.",Он,"['""Хамаса""', 'израильского военнослужащего', 'источника в АМАНе']",3,3
