task_id,answer,correct_answer
disrpt_0,elaboration,elaboration
disrpt_1,elaboration,elaboration
disrpt_2,sequence,joint
disrpt_3,effect,solutionhood
disrpt_4,effect,elaboration
disrpt_5,restatement,cause
disrpt_6,concession,contrast
disrpt_7,background,sequence
disrpt_8,antithesis,joint
disrpt_9,elaboration,purpose
disrpt_10,contrast,contrast
disrpt_11,contrast,preparation
disrpt_12,contrast,concession
disrpt_13,elaboration,concession
disrpt_14,elaboration,preparation
disrpt_15,background,preparation
disrpt_16,elaboration,joint
disrpt_17,elaboration,elaboration
disrpt_18,cause,contrast
disrpt_19,effect,restatement
disrpt_20,background,joint
disrpt_21,purpose,purpose
disrpt_22,elaboration,elaboration
disrpt_23,purpose,purpose
disrpt_24,cause,elaboration
disrpt_25,elaboration,elaboration
disrpt_26,elaboration,joint
disrpt_27,elaboration,joint
disrpt_28,cause,elaboration
disrpt_29,elaboration,elaboration
disrpt_30,background,preparation
disrpt_31,background,attribution
disrpt_32,elaboration,purpose
disrpt_33,conclusion,preparation
disrpt_34,elaboration,joint
disrpt_35,background,elaboration
disrpt_36,sequence,cause
disrpt_37,elaboration,contrast
disrpt_38,attribution,attribution
disrpt_39,elaboration,joint
disrpt_40,evaluation,attribution
disrpt_41,elaboration,contrast
disrpt_42,elaboration,joint
disrpt_43,elaboration,elaboration
disrpt_44,elaboration,purpose
disrpt_45,elaboration,elaboration
disrpt_46,concession,evidence
disrpt_47,elaboration,joint
disrpt_48,concession,contrast
disrpt_49,elaboration,elaboration
disrpt_50,concession,solutionhood
disrpt_51,concession,joint
disrpt_52,elaboration,evidence
disrpt_53,restatement,joint
disrpt_54,sequence,joint
disrpt_55,elaboration,preparation
disrpt_56,sequence,elaboration
disrpt_57,elaboration,attribution
disrpt_58,elaboration,cause
disrpt_59,elaboration,elaboration
disrpt_60,elaboration,joint
disrpt_61,elaboration,elaboration
disrpt_62,cause-effect,cause
disrpt_63,background,preparation
disrpt_64,consequence,joint
disrpt_65,background,preparation
disrpt_66,restatement,evaluation
disrpt_67,attribution,joint
disrpt_68,cause-effect,cause
disrpt_69,elaboration,elaboration
disrpt_70,elaboration,contrast
disrpt_71,cause,elaboration
disrpt_72,condition,condition
disrpt_73,contrast,elaboration
disrpt_74,elaboration,joint
disrpt_75,elaboration,attribution
disrpt_76,restatement,elaboration
disrpt_77,background,elaboration
disrpt_78,sequence,elaboration
disrpt_79,concession,evaluation
disrpt_80,contrast,contrast
disrpt_81,conclusion,condition
disrpt_82,elaboration,elaboration
disrpt_83,elaboration,elaboration
disrpt_84,effect,evidence
disrpt_85,condition,condition
disrpt_86,elaboration,evaluation
disrpt_87,elaboration,restatement
disrpt_88,elaboration,elaboration
disrpt_89,elaboration,preparation
disrpt_90,elaboration,attribution
disrpt_91,evaluation,evaluation
disrpt_92,contrast,contrast
disrpt_93,sequence,joint
disrpt_94,attribution,attribution
disrpt_95,antithesis,preparation
disrpt_96,elaboration,joint
disrpt_97,sequence,sequence
disrpt_98,elaboration,condition
disrpt_99,elaboration,elaboration
disrpt_100,elaboration,joint
disrpt_101,concession,elaboration
disrpt_102,sequence,condition
disrpt_103,background,background
disrpt_104,elaboration,cause
disrpt_105,cause,joint
disrpt_106,restatement,elaboration
disrpt_107,contrast,concession
disrpt_108,cause,preparation
disrpt_109,elaboration,joint
disrpt_110,antithesis,evaluation
disrpt_111,elaboration,joint
disrpt_112,elaboration,elaboration
disrpt_113,concession,contrast
disrpt_114,sequence,background
disrpt_115,elaboration,elaboration
disrpt_116,elaboration,background
disrpt_117,contrast,contrast
disrpt_118,elaboration,attribution
disrpt_119,elaboration,joint
disrpt_120,elaboration,joint
disrpt_121,elaboration,joint
disrpt_122,elaboration,elaboration
disrpt_123,elaboration,evaluation
disrpt_124,elaboration,attribution
disrpt_125,restatement,elaboration
disrpt_126,cause-effect,elaboration
disrpt_127,cause,joint
disrpt_128,elaboration,joint
disrpt_129,elaboration,elaboration
disrpt_130,contrast,elaboration
disrpt_131,elaboration,elaboration
disrpt_132,contrast,joint
disrpt_133,elaboration,elaboration
disrpt_134,background,preparation
disrpt_135,elaboration,joint
disrpt_136,sequence,joint
disrpt_137,elaboration,joint
disrpt_138,elaboration,preparation
disrpt_139,cause,contrast
disrpt_140,background,evaluation
disrpt_141,concession,contrast
disrpt_142,sequence,joint
disrpt_143,concession,concession
disrpt_144,elaboration,attribution
disrpt_145,sequence,joint
disrpt_146,elaboration,elaboration
disrpt_147,background,joint
disrpt_148,elaboration,elaboration
disrpt_149,elaboration,cause-effect
disrpt_150,cause,joint
disrpt_151,cause,cause
disrpt_152,contrast,elaboration
disrpt_153,restatement,concession
disrpt_154,elaboration,attribution
disrpt_155,elaboration,elaboration
disrpt_156,elaboration,attribution
disrpt_157,elaboration,elaboration
disrpt_158,restatement,joint
disrpt_159,contrast,evaluation
disrpt_160,attribution,attribution
disrpt_161,elaboration,cause-effect
disrpt_162,elaboration,preparation
disrpt_163,elaboration,elaboration
disrpt_164,elaboration,joint
disrpt_165,elaboration,joint
disrpt_166,elaboration,elaboration
disrpt_167,elaboration,elaboration
disrpt_168,elaboration,contrast
disrpt_169,restatement,comparison
disrpt_170,contrast,contrast
disrpt_171,elaboration,elaboration
disrpt_172,sequence,sequence
disrpt_173,elaboration,joint
disrpt_174,concession,contrast
disrpt_175,effect,preparation
disrpt_176,cause-effect,evidence
disrpt_177,contrast,evaluation
disrpt_178,contrast,background
disrpt_179,cause,cause
disrpt_180,sequence,purpose
disrpt_181,elaboration,joint
disrpt_182,cause-effect,cause
disrpt_183,effect,elaboration
disrpt_184,restatement,elaboration
disrpt_185,cause,cause
disrpt_186,purpose,purpose
disrpt_187,restatement,evaluation
disrpt_188,sequence,contrast
disrpt_189,elaboration,contrast
disrpt_190,elaboration,elaboration
disrpt_191,contrast,background
disrpt_192,elaboration,preparation
disrpt_193,concession,joint
disrpt_194,restatement,elaboration
disrpt_195,cause,cause
disrpt_196,elaboration,contrast
disrpt_197,elaboration,attribution
disrpt_198,condition,condition
disrpt_199,elaboration,preparation
disrpt_200,elaboration,elaboration
disrpt_201,elaboration,elaboration
disrpt_202,contrast,elaboration
disrpt_203,antithesis,elaboration
disrpt_204,elaboration,joint
disrpt_205,elaboration,elaboration
disrpt_206,effect,joint
disrpt_207,elaboration,joint
disrpt_208,antithesis,joint
disrpt_209,contrast,contrast
disrpt_210,elaboration,joint
disrpt_211,elaboration,elaboration
disrpt_212,condition,evaluation
disrpt_213,elaboration,elaboration
disrpt_214,elaboration,elaboration
disrpt_215,elaboration,elaboration
disrpt_216,elaboration,joint
disrpt_217,purpose,purpose
disrpt_218,elaboration,joint
disrpt_219,consequence,joint
disrpt_220,sequence,sequence
disrpt_221,elaboration,evaluation
disrpt_222,contrast,contrast
disrpt_223,elaboration,joint
disrpt_224,interpretation-evaluation,solutionhood
disrpt_225,solutionhood,condition
disrpt_226,elaboration,purpose
disrpt_227,antithesis,joint
disrpt_228,restatement,attribution
disrpt_229,background,joint
disrpt_230,contrast,contrast
