task_id,answer,correct_answer
idiom_multiple_44,2,2
idiom_multiple_180,0,0
idiom_multiple_198,1,2
idiom_multiple_298,1,2
idiom_multiple_331,2,0
idiom_multiple_169,1,1
idiom_multiple_223,2,0
idiom_multiple_133,0,2
idiom_multiple_192,0,2
idiom_multiple_15,0,0
idiom_multiple_252,1,1
idiom_multiple_144,2,0
idiom_multiple_341,1,1
idiom_multiple_260,1,1
idiom_multiple_259,2,0
idiom_multiple_296,1,0
idiom_multiple_264,2,2
idiom_multiple_358,0,0
idiom_multiple_207,1,1
idiom_multiple_90,1,0
idiom_multiple_129,1,0
idiom_multiple_119,1,0
idiom_multiple_182,2,1
idiom_multiple_171,1,0
idiom_multiple_53,1,0
idiom_multiple_291,0,0
idiom_multiple_307,0,1
idiom_multiple_244,1,0
idiom_multiple_197,2,2
idiom_multiple_319,0,0
idiom_multiple_217,2,0
idiom_multiple_353,1,1
idiom_multiple_24,1,1
idiom_multiple_287,1,0
idiom_multiple_80,0,0
idiom_multiple_256,2,0
idiom_multiple_285,0,0
idiom_multiple_156,0,0
idiom_multiple_21,0,0
idiom_multiple_85,1,0
idiom_multiple_245,2,0
idiom_multiple_277,0,1
idiom_multiple_337,0,0
idiom_multiple_131,0,0
idiom_multiple_12,0,0
idiom_multiple_274,1,0
idiom_multiple_178,1,2
idiom_multiple_336,2,2
idiom_multiple_164,2,0
idiom_multiple_13,1,0
idiom_multiple_93,1,0
idiom_multiple_138,0,1
idiom_multiple_288,2,2
idiom_multiple_161,1,1
idiom_multiple_66,0,0
idiom_multiple_333,0,0
idiom_multiple_246,2,0
idiom_multiple_360,2,1
idiom_multiple_34,0,0
idiom_multiple_339,0,0
idiom_multiple_170,1,0
idiom_multiple_302,0,1
idiom_multiple_160,2,2
idiom_multiple_268,2,2
idiom_multiple_271,1,0
idiom_multiple_158,1,0
idiom_multiple_334,0,0
idiom_multiple_148,0,0
idiom_multiple_94,0,1
idiom_multiple_139,1,1
idiom_multiple_116,1,0
idiom_multiple_106,0,0
idiom_multiple_50,0,0
idiom_multiple_357,2,1
idiom_multiple_8,1,2
idiom_multiple_18,0,1
idiom_multiple_49,1,0
idiom_multiple_356,1,1
idiom_multiple_68,2,1
idiom_multiple_181,1,0
idiom_multiple_141,1,1
idiom_multiple_163,1,1
idiom_multiple_107,2,2
idiom_multiple_122,0,0
idiom_multiple_349,0,0
idiom_multiple_309,1,0
idiom_multiple_173,2,2
idiom_multiple_19,2,0
idiom_multiple_248,1,0
idiom_multiple_227,2,2
idiom_multiple_224,2,2
idiom_multiple_218,1,1
idiom_multiple_9,2,0
idiom_multiple_306,0,2
idiom_multiple_231,1,0
idiom_multiple_40,1,0
idiom_multiple_294,0,0
idiom_multiple_255,1,1
idiom_multiple_115,0,0
