task_id,answer,correct_answer
idiom_multiple_250,0,0
idiom_multiple_105,0,2
idiom_multiple_251,1,0
idiom_multiple_79,1,0
idiom_multiple_294,0,0
idiom_multiple_185,1,2
idiom_multiple_317,0,0
idiom_multiple_262,1,1
idiom_multiple_359,1,1
idiom_multiple_172,1,1
idiom_multiple_153,1,0
idiom_multiple_246,2,0
idiom_multiple_197,2,2
idiom_multiple_280,2,0
idiom_multiple_164,2,0
idiom_multiple_337,0,0
idiom_multiple_168,2,0
idiom_multiple_178,0,2
idiom_multiple_333,0,0
idiom_multiple_146,0,0
idiom_multiple_231,0,0
idiom_multiple_219,2,2
idiom_multiple_107,0,2
idiom_multiple_326,1,1
idiom_multiple_325,2,0
idiom_multiple_201,1,1
idiom_multiple_238,2,0
idiom_multiple_216,1,0
idiom_multiple_195,2,2
idiom_multiple_324,0,0
idiom_multiple_69,0,0
idiom_multiple_46,2,0
idiom_multiple_310,0,0
idiom_multiple_299,0,1
idiom_multiple_34,0,0
idiom_multiple_223,0,0
idiom_multiple_97,2,1
idiom_multiple_110,2,1
idiom_multiple_32,0,0
idiom_multiple_77,2,0
idiom_multiple_24,0,1
idiom_multiple_213,0,0
idiom_multiple_28,0,0
idiom_multiple_314,0,0
idiom_multiple_286,0,0
idiom_multiple_109,0,0
idiom_multiple_329,1,0
idiom_multiple_298,2,2
idiom_multiple_147,2,0
idiom_multiple_194,2,2
idiom_multiple_218,1,1
idiom_multiple_88,2,0
idiom_multiple_198,2,2
idiom_multiple_295,2,0
idiom_multiple_287,1,0
idiom_multiple_152,0,0
idiom_multiple_233,1,1
idiom_multiple_328,2,0
idiom_multiple_347,0,0
idiom_multiple_108,1,2
idiom_multiple_209,0,1
idiom_multiple_175,1,1
idiom_multiple_35,0,0
idiom_multiple_16,0,0
idiom_multiple_270,2,2
idiom_multiple_1,0,2
idiom_multiple_78,2,2
idiom_multiple_11,0,1
idiom_multiple_3,2,0
idiom_multiple_127,1,1
idiom_multiple_10,0,1
idiom_multiple_49,1,0
idiom_multiple_133,0,2
idiom_multiple_305,1,2
idiom_multiple_199,0,1
idiom_multiple_104,0,2
idiom_multiple_350,0,0
idiom_multiple_239,0,0
idiom_multiple_47,2,0
idiom_multiple_217,0,0
idiom_multiple_179,2,2
idiom_multiple_265,1,1
idiom_multiple_190,0,2
idiom_multiple_120,0,0
idiom_multiple_307,1,1
idiom_multiple_275,1,1
idiom_multiple_258,1,2
idiom_multiple_236,0,1
idiom_multiple_122,2,0
idiom_multiple_162,1,1
idiom_multiple_351,1,0
idiom_multiple_173,1,2
idiom_multiple_26,0,0
idiom_multiple_142,1,0
idiom_multiple_65,0,0
idiom_multiple_159,1,1
idiom_multiple_313,0,0
idiom_multiple_247,0,0
idiom_multiple_344,0,0
idiom_multiple_282,1,1
