task_id,answer,correct_answer
disrpt_0,elaboration,elaboration
disrpt_1,elaboration,elaboration
disrpt_2,sequence,joint
disrpt_3,restatement,solutionhood
disrpt_4,effect,elaboration
disrpt_5,cause,cause
disrpt_6,solutionhood,contrast
disrpt_7,effect,sequence
disrpt_8,evaluation,joint
disrpt_9,restatement,purpose
disrpt_10,contrast,contrast
disrpt_11,conclusion,preparation
disrpt_12,concession,concession
disrpt_13,contrast,concession
disrpt_14,purpose,preparation
disrpt_15,background,preparation
disrpt_16,background,joint
disrpt_17,background,elaboration
disrpt_18,contrast,contrast
disrpt_19,cause-effect,restatement
disrpt_20,cause,joint
disrpt_21,purpose,purpose
disrpt_22,background,elaboration
disrpt_23,purpose,purpose
disrpt_24,effect,elaboration
disrpt_25,restatement,elaboration
disrpt_26,effect,joint
disrpt_27,evidence,joint
disrpt_28,effect,elaboration
disrpt_29,comparison,elaboration
disrpt_30,background,preparation
disrpt_31,background,attribution
disrpt_32,purpose,purpose
disrpt_33,conclusion,preparation
disrpt_34,interpretation-evaluation,joint
disrpt_35,sequence,elaboration
disrpt_36,background,cause
disrpt_37,restatement,contrast
disrpt_38,background,attribution
disrpt_39,preparation,joint
disrpt_40,conclusion,attribution
disrpt_41,restatement,contrast
disrpt_42,comparison,joint
disrpt_43,purpose,elaboration
disrpt_44,sequence,purpose
disrpt_45,elaboration,elaboration
disrpt_46,effect,evidence
disrpt_47,comparison,joint
disrpt_48,contrast,contrast
disrpt_49,interpretation-evaluation,elaboration
disrpt_50,contrast,solutionhood
disrpt_51,evidence,joint
disrpt_52,contrast,evidence
disrpt_53,conclusion,joint
disrpt_54,sequence,joint
disrpt_55,elaboration,preparation
disrpt_56,cause,elaboration
disrpt_57,elaboration,attribution
disrpt_58,effect,cause
disrpt_59,attribution,elaboration
disrpt_60,evidence,joint
disrpt_61,evaluation,elaboration
disrpt_62,effect,cause
disrpt_63,background,preparation
disrpt_64,cause,joint
disrpt_65,evidence,preparation
disrpt_66,restatement,evaluation
disrpt_67,restatement,joint
disrpt_68,cause-effect,cause
disrpt_69,joint,elaboration
disrpt_70,contrast,contrast
disrpt_71,effect,elaboration
disrpt_72,effect,condition
disrpt_73,conclusion,elaboration
disrpt_74,background,joint
disrpt_75,background,attribution
disrpt_76,background,elaboration
disrpt_77,background,elaboration
disrpt_78,contrast,elaboration
disrpt_79,conclusion,evaluation
disrpt_80,contrast,contrast
disrpt_81,cause-effect,condition
disrpt_82,restatement,elaboration
disrpt_83,cause-effect,elaboration
disrpt_84,interpretation-evaluation,evidence
disrpt_85,condition,condition
disrpt_86,restatement,evaluation
disrpt_87,restatement,restatement
disrpt_88,elaboration,elaboration
disrpt_89,contrast,preparation
disrpt_90,cause-effect,attribution
disrpt_91,interpretation-evaluation,evaluation
disrpt_92,concession,contrast
disrpt_93,sequence,joint
disrpt_94,concession,attribution
disrpt_95,antithesis,preparation
disrpt_96,effect,joint
disrpt_97,sequence,sequence
disrpt_98,evidence,condition
disrpt_99,cause,elaboration
disrpt_100,effect,joint
disrpt_101,effect,elaboration
disrpt_102,preparation,condition
disrpt_103,background,background
disrpt_104,cause,cause
disrpt_105,cause-effect,joint
disrpt_106,restatement,elaboration
disrpt_107,contrast,concession
disrpt_108,background,preparation
disrpt_109,cause,joint
disrpt_110,contrast,evaluation
disrpt_111,restatement,joint
disrpt_112,elaboration,elaboration
disrpt_113,attribution,contrast
disrpt_114,sequence,background
disrpt_115,background,elaboration
disrpt_116,contrast,background
disrpt_117,antithesis,contrast
disrpt_118,restatement,attribution
disrpt_119,elaboration,joint
disrpt_120,comparison,joint
disrpt_121,elaboration,joint
disrpt_122,contrast,elaboration
disrpt_123,attribution,evaluation
disrpt_124,background,attribution
disrpt_125,elaboration,elaboration
disrpt_126,effect,elaboration
disrpt_127,cause,joint
disrpt_128,contrast,joint
disrpt_129,elaboration,elaboration
disrpt_130,contrast,elaboration
disrpt_131,elaboration,elaboration
disrpt_132,sequence,joint
disrpt_133,restatement,elaboration
disrpt_134,background,preparation
disrpt_135,cause-effect,joint
disrpt_136,sequence,joint
disrpt_137,interpretation-evaluation,joint
disrpt_138,effect,preparation
disrpt_139,conclusion,contrast
disrpt_140,sequence,evaluation
disrpt_141,antithesis,contrast
disrpt_142,preparation,joint
disrpt_143,concession,concession
disrpt_144,evidence,attribution
disrpt_145,effect,joint
disrpt_146,condition,elaboration
disrpt_147,comparison,joint
disrpt_148,elaboration,elaboration
disrpt_149,evidence,cause-effect
disrpt_150,cause,joint
disrpt_151,cause,cause
disrpt_152,contrast,elaboration
disrpt_153,conclusion,concession
disrpt_154,elaboration,attribution
disrpt_155,elaboration,elaboration
disrpt_156,joint,attribution
disrpt_157,joint,elaboration
disrpt_158,antithesis,joint
disrpt_159,interpretation-evaluation,evaluation
disrpt_160,background,attribution
disrpt_161,cause-effect,cause-effect
disrpt_162,comparison,preparation
disrpt_164,comparison,joint
disrpt_165,antithesis,joint
disrpt_166,joint,elaboration
disrpt_167,evidence,elaboration
disrpt_168,contrast,contrast
disrpt_169,contrast,comparison
disrpt_170,contrast,contrast
disrpt_171,interpretation-evaluation,elaboration
disrpt_172,sequence,sequence
disrpt_173,sequence,joint
disrpt_174,contrast,contrast
disrpt_175,effect,preparation
disrpt_176,effect,evidence
disrpt_177,contrast,evaluation
disrpt_178,contrast,background
disrpt_179,cause-effect,cause
disrpt_180,sequence,purpose
disrpt_181,elaboration,joint
disrpt_182,effect,cause
disrpt_183,elaboration,elaboration
disrpt_184,restatement,elaboration
disrpt_185,attribution,cause
disrpt_186,purpose,purpose
disrpt_187,sequence,evaluation
disrpt_188,effect,contrast
disrpt_189,contrast,contrast
disrpt_190,interpretation-evaluation,elaboration
disrpt_191,contrast,background
disrpt_192,elaboration,preparation
disrpt_193,contrast,joint
disrpt_194,interpretation-evaluation,elaboration
disrpt_195,purpose,cause
disrpt_196,elaboration,contrast
disrpt_197,restatement,attribution
disrpt_198,condition,condition
disrpt_199,elaboration,preparation
disrpt_200,condition,elaboration
disrpt_201,elaboration,elaboration
disrpt_202,contrast,elaboration
disrpt_203,effect,elaboration
disrpt_204,purpose,joint
disrpt_205,restatement,elaboration
disrpt_206,effect,joint
disrpt_207,elaboration,joint
disrpt_208,contrast,joint
disrpt_209,contrast,contrast
disrpt_210,conclusion,joint
disrpt_211,contrast,elaboration
disrpt_212,purpose,evaluation
disrpt_213,elaboration,elaboration
disrpt_214,background,elaboration
disrpt_215,solutionhood,elaboration
disrpt_216,contrast,joint
disrpt_217,interpretation-evaluation,purpose
disrpt_218,antithesis,joint
disrpt_219,joint,joint
disrpt_220,effect,sequence
disrpt_221,background,evaluation
disrpt_222,contrast,contrast
disrpt_223,background,joint
disrpt_224,interpretation-evaluation,solutionhood
disrpt_225,purpose,condition
disrpt_226,joint,purpose
disrpt_227,sequence,joint
disrpt_228,restatement,attribution
disrpt_229,evidence,joint
disrpt_230,contrast,contrast
disrpt_231,antithesis,background
disrpt_232,contrast,contrast
disrpt_233,comparison,purpose
disrpt_234,joint,joint
