text,quest pronoun,variants,correct_answer,answer
"Как рассказала одна из участниц акции, в одну из волгоградских школ позвонили из районного управления образования и попросили предоставить двух человек для патриотической акции на Мамаевом кургане 4 февраля. На месте организаторы объявили, что в городе будет сниматься патриотический клип группы ""Любэ"", частью которого станут города-герои, и Волгоград - первый город, где проходят съемки.",которого,"['патриотический клип группы ""Любэ""', 'первый город', 'Мамаевом кургане']",1,1
"Отмечается, что ранее в социальных сетях его сыном было опубликовано видео, где да Силва ездит верхом на пони по имени Пикулито, при этом чрезмерно дергает поводьями, причиняя лошади боль. Также решением трибунала было установлено, что за пони бежала собака, причиняя животному стресс на фоне испытываемых болезненных ощущений, а сам да Силва был слишком тяжел для лошади.",его,"['да Силва', 'видео', 'пони по имени Пикулито']",1,1
"Вводить ограничения в отношении журналистов не стали, поскольку санкции WADA этого не требуют. При этом в федерации подчеркнули, что журналистам запрещено передавать российским спортсменам государственную символику, так что финишировать с государственным флагом в гонках им не удастся.",им,"['журналистам', 'российским спортсменам', 'WADA']",2,2
"Сторонников Трампа, ворвавшихся накануне в здание Капитолия, Байден призвал не называть ""протестующими"". ""Это не были протестующие. И даже не пытайтесь называть их протестующими, - сказал избранный президент США. - Это была банда погромщиков. Бунтовщиков. Террористов"". Байден также подверг резкой критике самого президента - своего соперника по президентским выборам, который так и не признал поражения. Избранный президент не стал прямо призывать к отставке Трампа, однако заявил, что многие его действия на посту главы государства подрывали демократические институты и служили только его личным целям. Байден, в частности, упомянул о том, что Трамп ""больше доверял Владимиру Путину"", чем сотрудникам американских спецслужб, по вопросу о российском вмешательстве в выборы.",своего,"['Владимиру Путину', 'Байден', 'Трампа']",2,3
"Сторонников Трампа, ворвавшихся накануне в здание Капитолия, Байден призвал не называть ""протестующими"". ""Это не были протестующие. И даже не пытайтесь называть их протестующими, - сказал избранный президент США. - Это была банда погромщиков. Бунтовщиков. Террористов"". Байден также подверг резкой критике самого президента - своего соперника по президентским выборам, который так и не признал поражения. Избранный президент не стал прямо призывать к отставке Трампа, однако заявил, что многие его действия на посту главы государства подрывали демократические институты и служили только его личным целям. Байден, в частности, упомянул о том, что Трамп ""больше доверял Владимиру Путину"", чем сотрудникам американских спецслужб, по вопросу о российском вмешательстве в выборы.",его,"['Трампа', 'Владимиру Путину', 'Избранный президент']",1,1
"Такого же мнения придерживаются другие ведущие политики-демократы. Лидер демократов в Сенате и спикер Палаты представителей Нэнси Пелоси призвали отстранить Трампа от должности, не дожидаясь 20 января, когда он должен покинуть свой пост по конституции. Они призвали членов администрации Трампа воспользоваться их конституционными полномочиями и отстранить президента от власти. Если этого не произойдёт, то, по словам Пелоси, Палата представителей может начать процедуру импичмента Трампа - уже вторую за его 4-летний срок.",свой,"['спикер Палаты представителей Нэнси Пелоси', 'Трампа', 'Лидер демократов в Сенате']",2,2
"Русская служба BBC подробно пояснила на своем сайте, почему компания уделяет столь пристальное внимание смерти принца Филиппа. Дело в том, что он был одним из четырех высокопоставленных, или ""старших"", членов королевской семьи, на случай смерти которых у ВВС имеются особые правила подачи информации.",своем,"['принца Филиппа', 'компания', 'Русская служба BBC']",3,3
"ВВС Армии обороны Израиля (ЦАХАЛ) атаковали высотное здание в городе Газа, где находились офисы военной разведки террористической организации ХАМАС и редакции нескольких местных СМИ, которые ХАМАС ""намеренно использует как ""живые щиты"", передает NEWSru.co.il.",где,"['Израиля', 'ВВС Армии обороны Израиля', 'высотное здание в городе Газа']",3,3
"Планы Белого дома купить Гренландию, раскрытие которых грозит международным скандалом и уже привело к охлаждению отношений между Вашингтоном и Копенгагеном, оказались реальными и продуманными в деталях. Чтобы заполучить крупнейший остров с важным геополитическим значением под свой контроль, Соединенные Штаты готовы взять на себя ежегодную выплату властям Гренландии предоставляемой Копенгагеном субсидии в 600 миллионов долларов в год, а также единовременно выплатили бы Дании крупный бонус. Об этом пишет The Washington Post со ссылкой на двух высокопоставленных чиновников в администрации Дональда Трампа, знакомых с ходом переговоров.",себя,"['администрации Дональда Трампа', 'Гренландии', 'Соединенные Штаты']",3,3
"Группу также сопровождали 4 сотрудника автоинспекции и два омоновца, у которых были при себе средства спецсвязи и рации. Если бы кто-то из группы сопровождения был жив, они дали бы о себе знать.",себе,"['группы сопровождения', 'автоинспекции', 'Группу']",1,1
