task_id,answer,correct_answer
0,Да это даже полезно _[иметь эти чувства]_..,не дано
1,"Если честно, нет, я не считаю, что вам подходит это платье.",не считаю что вам подходит это платье
2,после слова 'никогда' пропущено 'не хочу в кино',не хочу в кино
3,"Они попросили меня пойти на озеро, но у меня нет времени _пойти на озеро_.",пойти на озеро
4,"Да, _пойду (в кино)_",пойду в кино
5,"Либо встретишь динозавра на улице, либо не встретишь динозавра на улице",не встретишь
6,а тот _ не закончен до сих пор.,пейзаж
7,"существование и единственность чисел а1, ..., ап, таких что любой вектор пространства представим в виде их линейной комбинации с элементами базиса",обеспечивается
8,Я собираюсь пойти в магазин.,Я собираюсь пойти
9,встречу,встречу
10,вы разве не хотели _стать космонавтом_?,стать космонавтом
11,был,был
12,участие,составит
13,после слова 'товарным знаком' пропущено указание владельца товарного знака DuoSwitch,является
14,ты купил _ в магазине,я купил в магазине
15,а в небе _ солнечный луч - своего отца.,любила только
16,уменьшилась (или сократилась) на 3%,уменьшилась
17,с кем,дрались дети
18,почему розница может свалиться на 8.5-9 процентов,в целом по году розница может свалиться на 8.5-9 процентов
19,чем он читает,читает
20,студентам демоверсии,демоверсии
21,машину,машину
22,закреплен,закреплен
23,Кто принёс эти документы? – _Секретарь директора принёс эти документы_.,принёс эти документы
24,"вред, причиненный гражданину либо юридическому лицу вследствие недостатков услуги, а также вследствие недостоверной или недостаточной информации об услуге, подлежит возмещению лицом, оказавшим услугу (исполнителем), независимо от его вины и от того, состоял потерпевший с ним в договорных отношениях или нет __в случаях, предусмотренных настоящей статьей__",не состоял с ним в договорных отношениях
25,"Мы купили ту книгу по математике после того, как он купил эту __книгу по математике__.",книгу по математике
26,"Если Маша ненавидит свой номер в отеле, то Даша тоже ненавидит свой номер в отеле.",ненавидит свой номер в отеле
27,Год назад _был в театре_.,я в последний раз был в театре
28,Тарелка _упала со стола_.,упала со стола
29,успокоит своего брата,успокоит своего брата
30,над кем они смеются,они смеются
31,помыл часть своей посуды,"выполнять, помыл часть своей посуды"
32,"С другой (стороны), это неправильные данные.",стороны
33,"— Ты сделал домашку? — Да, _сделал домашку_.",я сделал домашку
34,не приносят конфеты одноклассникам в день рождения,конфеты одноклассникам
35,до Коли еще не дошло мое письмо,письмо не дошло
36,"Иван улыбается, и Миша знает, почему Иван улыбается.",Иван улыбается
37,Что у нас сегодня на ужин? _Паста карбонара [на ужин]_..,у нас сегодня на ужин
38,Мне нравится красный цвет. Оранжевый тоже ничего _[мне нравится]_ .,цвет
39,позовет на бал,Олег позовет на бал
40,"что именно это было за важная, душевная мысль",было не додумано еще
41,,отводится
42,"цветы придется покупать, а праздничную атмосферу __придется__ организовывать.",придется
43,"Бренды, которые принадлежат Илону Маску, это",принадлежат Илону Маску
44,петь эту песню,петь эту песню
45,"Она меня не любит, и я её _не люблю_.",не люблю
46,"Петя помогает своей пожилой соседке, и Ваня тоже __помогает своей пожилой соседке__.",помогает своей пожилой соседке
47,"кто, где, какую и почему (читали художественную литературу)","художественной литературы читал намного больше чем сейчас, художественной литературы читали намного больше чем сейчас, художественную литературу читали намного больше чем сейчас, художественной литературы читали намного больше чем сейчас"
48,возросло,возросло
49,кто что пел,пел
50,Что он пытался сделать? _Он пытался починить машину._,он пытался
51,а вот кошку — не стала [рисовать],"нарисовать, рисовать"
52,"Сегодня котировки акций на РТС составляют 0,0073 рубля, на ММВБ – __0,0069 рубля__.",составляют
53,смустит свою жену,сегодня смутит свою жену
54,мы оставили ключи от машины,мы оставили ключи от машины вчера вечером
55,"а я думал, что меня Вика позвала гулять","Вика, позвала гулять"
56,экзамен,экзамен
57,Подарят _ красивый ежедневник с гравировкой.,директору на юбилей подарят
58,нарушить закон,нарушить закон
59,из другой она изливает воду на землю,изливает воду
60,Потому что на синей линии авария _.,в метро сегодня такие пробки
61,"Ты сделал домашку? — Нет, ещё нет __сделал домашку__.",не сделал домашку
62,"Петя доктор, и Даша тоже __.",доктор
63,После вопроса 'Кто является владельцем сети гипермаркетов Ашан?' пропущено подлежащее в ответе.,является владельцем сети гипермаркетов Ашан
64,Этот актер играет в Пер Гюнте.,этот актер играет
65,нет _помыл посуду_,"помыл, не помыл"
66,общий объем объявленных донорами выплат,равнялся
67,Маша поймала _ собаку,собаку
68,Кому он звонит? _ Мише.,он звонит
69,делать это домашнее задание,делать это домашнее задание
70,"Петя силился вспомнить имя того человека, но не мог _вспомнить имя того человека_.",вспомнить имя того человека
71,"пытаясь одновременно отдать честь, предъявить удостоверение личности и увольнительную __ (кому-то, вероятно, начальству или проверяющему)",кося
72,"По мере того как стены его темницы продолжали сдвигаться, а сознание _продолжало_ затуманиваться, им овладевали старые страхи.",продолжало
