task_id,answer,correct_answer
idiom_multiple_358,0,0
idiom_multiple_78,1,2
idiom_multiple_129,2,0
idiom_multiple_248,1,0
idiom_multiple_40,1,0
idiom_multiple_157,2,2
idiom_multiple_291,1,0
idiom_multiple_29,1,1
idiom_multiple_53,2,0
idiom_multiple_97,1,1
idiom_multiple_262,1,1
idiom_multiple_20,0,0
idiom_multiple_48,1,0
idiom_multiple_106,0,0
idiom_multiple_354,1,0
idiom_multiple_149,2,0
idiom_multiple_245,2,0
idiom_multiple_340,0,0
idiom_multiple_93,2,0
idiom_multiple_303,0,2
idiom_multiple_205,2,0
idiom_multiple_348,1,0
idiom_multiple_319,0,0
idiom_multiple_211,2,1
idiom_multiple_355,1,1
idiom_multiple_181,1,0
idiom_multiple_195,0,2
idiom_multiple_199,0,1
idiom_multiple_9,1,0
idiom_multiple_59,2,1
idiom_multiple_102,1,2
idiom_multiple_15,0,0
idiom_multiple_351,2,0
idiom_multiple_179,1,2
idiom_multiple_187,1,0
idiom_multiple_190,1,2
idiom_multiple_22,0,0
idiom_multiple_214,1,0
idiom_multiple_352,0,0
idiom_multiple_349,2,0
idiom_multiple_269,2,2
idiom_multiple_45,2,1
idiom_multiple_51,2,0
idiom_multiple_359,1,1
idiom_multiple_165,0,0
idiom_multiple_6,2,0
idiom_multiple_81,1,1
idiom_multiple_46,1,0
idiom_multiple_153,0,0
idiom_multiple_342,1,1
idiom_multiple_113,1,0
idiom_multiple_61,0,1
idiom_multiple_112,1,0
idiom_multiple_247,1,0
idiom_multiple_329,2,0
idiom_multiple_302,0,1
idiom_multiple_19,0,0
idiom_multiple_259,1,0
idiom_multiple_173,1,2
idiom_multiple_131,0,0
idiom_multiple_307,1,1
idiom_multiple_57,1,1
idiom_multiple_223,2,0
idiom_multiple_206,2,1
idiom_multiple_232,2,0
idiom_multiple_37,2,0
idiom_multiple_98,1,1
idiom_multiple_1,0,2
idiom_multiple_41,1,2
idiom_multiple_94,0,1
idiom_multiple_116,2,0
idiom_multiple_145,0,0
idiom_multiple_208,2,0
idiom_multiple_163,1,1
idiom_multiple_318,1,1
idiom_multiple_171,1,0
idiom_multiple_162,1,1
idiom_multiple_339,0,0
idiom_multiple_88,0,0
idiom_multiple_172,1,1
idiom_multiple_127,0,1
idiom_multiple_122,1,0
idiom_multiple_240,0,0
idiom_multiple_234,1,0
idiom_multiple_143,0,1
idiom_multiple_288,2,2
idiom_multiple_144,1,0
idiom_multiple_280,0,0
idiom_multiple_267,1,2
idiom_multiple_55,1,1
idiom_multiple_285,0,0
idiom_multiple_289,0,0
idiom_multiple_121,0,0
idiom_multiple_49,2,0
idiom_multiple_263,1,1
idiom_multiple_176,1,2
idiom_multiple_309,1,0
idiom_multiple_343,2,0
idiom_multiple_356,1,1
idiom_multiple_298,2,2
