text,quest pronoun,variants,correct_answer,answer
Вооруженные люди вытащили женщину из машины и пересадили ее в свой автомобиль. Водителю и еще одному пассажиру удалось вырваться из рук нападавших.,свой,"['Водителю', 'женщину', 'Вооруженные люди']",3,3
"""В населенном пункте Борзой Шатойского района бывший военнослужащий по контракту, уволенный со службы 17 ноября и проживавший в расположении части, нанес ножевое ранение дежурному по роте и пытался проникнуть в комнату для хранения оружия. Встретив сопротивление, он скрылся. Пострадавший госпитализирован"", - рассказал собеседник агентства.",он,"['собеседник агентства', 'Пострадавший', 'бывший военнослужащий по контракту']",3,3
"Бушевавший над Ирландией в понедельник и вторник циклон с Атлантического океана, аналогов которому не было на протяжении последних 15 лет, унес жизни двух человек. Один из них был буквально смыт вышедшей из берегов горной речкой, а второй погиб под упавшими на него массивными воротами фермерского дома. Они рухнули под напором ураганного ветра, скорость которого на западном побережье страны достигала 100 км в час.",него,"['второй', 'циклон с Атлантического океана', 'Один из них']",1,1
"""По своей структуре наш материал похож на желе, которое заполнено множеством твердых кусочков. Если попытаться разрезать его дисковой пилой или просверлить дрелью, то оба этих инструмента будут проходить через желе и рано или поздно натолкнутся на кусочки. Когда это произойдет, весь материал начнет вибрировать таким образом, что эти колебания разрушат сверло или диск пилы"", - рассказал один из авторов исследования, доцент Даремского университета Стефан Шинишевский (цитата по ТАСС).",своей,"['желе', 'авторов исследования', 'наш материал']",3,3
"Президент Эстонии Тоомас Хендрик Ильвес ""исключил"" из Европы Калининград, а также Латвию и Литву. Среди стран Балтии Эстония была единственной страной, в которой не было власти посткоммунистов - отчасти поэтому только про нее из бывших советских республик можно сказать, что она вошла в западное культурное пространство.",нее,"['Эстония', 'Литву', 'Латвию']",1,1
"Усманов пытался опровергнуть информацию, содержащуюся в расследовании. Бизнесмен рассказал в интервью газете ""Ведомости"", что особняк в Знаменском был не подарком ""Соцгоспроекту"", а якобы фигурировал в трехсторонней сделке по обмену недвижимостью. По версии Усманова, он обменял принадлежавший ему особняк на Рублевке на 12 гектаров земли рядом с его домом в подмосковном поселке Успенское, чтобы расширить свои владения. При этом Усманов говорил, что полученный им участок находился в собственности ""Соцгоспроекта"".",свои,"['принадлежавший ему особняк на Рублевке', 'подмосковном поселке Успенское', 'Усманов']",3,1
"Тем временем до 1 сентября генеральный директор Международного агентства по атомной энергии (МАГАТЭ) Мухаммед аль-Барадеи должен представить ООН доклад с выводами, подчинился ли Тегеран требованиям мирового сообщества. В принятой месяц назад резолюции Совет Безопасности предупредил Иран, что его отказ может повлечь за собой введение международных дипломатических и экономических санкций.",его,"['Иран', 'Международного агентства по атомной энергии', 'Совет Безопасности']",1,1
"Говоря о неудачниках олимпийского парада, модельеры отметили китайцев, немцев и американцев. Костюмы сборной Германии цветов мандарина и лайма дизайнеры назвали ""передозировкой витамина С"", а береты американцев, по их мнению, выглядели как ""перевернутое вверх тормашками нижнее белье"".",их,"['неудачниках олимпийского парада', 'американцев', 'дизайнеры']",3,2
"Сотрудник дорожной полиции Иван Букацык говорит: ""Мужчина выехал на своем Volvo против движения на скоростную магистраль и лоб в лоб столкнулся с BMW, в котором было четверо пассажиров. В результате столкновения BMW загорелся, можно сказать - взорвался. Третьим участником аварии стал фургон, водитель которого не успел вовремя оттормозиться"". К счастью, водитель фургона серьезно не пострадал.",своем,"['Мужчина', 'BMW', 'Сотрудник дорожной полиции Иван Букацык']",1,1
"Если суд встанет на сторону Кинга и налоговая инспекция заберет свои 2 миллиона, получится, что гонорар Рахмана за титульный бой против Виталия Кличко составит лишь 10 тысяч долларов, из которых он должен будет оплатить все расходы по подготовке и работу членов своей команды.",свои,"['налоговая инспекция', 'Кинга', 'суд']",1,2
