task_id,answer,correct_answer
idiom_literal_176,1,1
idiom_literal_197,1,1
idiom_literal_212,1,1
idiom_literal_13,1,0
idiom_literal_137,1,0
idiom_literal_6,1,0
idiom_literal_343,1,1
idiom_literal_340,1,1
idiom_literal_410,0,0
idiom_literal_361,1,0
idiom_literal_246,1,0
idiom_literal_243,1,1
idiom_literal_179,1,1
idiom_literal_287,1,0
idiom_literal_266,1,1
idiom_literal_367,0,0
idiom_literal_52,1,1
idiom_literal_49,1,0
idiom_literal_358,1,0
idiom_literal_119,1,0
idiom_literal_332,0,0
idiom_literal_58,0,0
idiom_literal_487,0,0
idiom_literal_15,0,0
idiom_literal_408,1,1
idiom_literal_317,1,1
idiom_literal_431,0,0
idiom_literal_132,1,1
idiom_literal_396,1,0
idiom_literal_498,0,0
idiom_literal_404,1,1
idiom_literal_222,0,1
idiom_literal_54,0,0
idiom_literal_177,1,0
idiom_literal_457,1,1
idiom_literal_237,1,1
idiom_literal_229,0,0
idiom_literal_282,1,1
idiom_literal_181,1,1
idiom_literal_207,1,0
idiom_literal_322,0,1
idiom_literal_114,1,1
idiom_literal_371,1,1
idiom_literal_296,1,1
idiom_literal_84,1,1
idiom_literal_353,0,0
idiom_literal_281,1,1
idiom_literal_272,0,0
idiom_literal_187,1,1
idiom_literal_220,1,1
idiom_literal_482,1,1
idiom_literal_111,0,0
idiom_literal_467,1,1
idiom_literal_211,0,1
idiom_literal_326,0,1
idiom_literal_70,1,1
idiom_literal_338,0,0
idiom_literal_288,1,0
idiom_literal_223,1,1
idiom_literal_291,1,1
idiom_literal_339,0,0
idiom_literal_80,1,1
idiom_literal_385,0,0
idiom_literal_214,1,1
idiom_literal_168,1,0
idiom_literal_474,1,1
idiom_literal_495,1,0
idiom_literal_238,1,1
idiom_literal_341,1,0
idiom_literal_206,1,1
idiom_literal_59,1,1
idiom_literal_69,1,1
idiom_literal_194,0,0
idiom_literal_415,0,0
idiom_literal_425,0,0
idiom_literal_185,1,1
idiom_literal_196,1,1
idiom_literal_82,1,1
idiom_literal_107,1,1
idiom_literal_491,0,1
idiom_literal_180,1,1
idiom_literal_65,0,1
idiom_literal_409,1,1
idiom_literal_144,1,1
idiom_literal_298,1,1
idiom_literal_173,1,1
idiom_literal_95,1,1
idiom_literal_216,1,0
idiom_literal_347,1,1
idiom_literal_219,1,1
idiom_literal_330,1,1
idiom_literal_264,0,1
idiom_literal_386,0,0
idiom_literal_442,1,0
idiom_literal_499,1,0
idiom_literal_158,1,1
idiom_literal_407,1,1
idiom_literal_118,1,0
idiom_literal_142,1,0
idiom_literal_321,1,1
