task_id,answer,correct_answer
idiom_literal_134,1,1
idiom_literal_425,0,0
idiom_literal_74,1,1
idiom_literal_204,0,0
idiom_literal_275,1,0
idiom_literal_40,1,1
idiom_literal_226,1,1
idiom_literal_157,1,0
idiom_literal_451,1,1
idiom_literal_123,1,0
idiom_literal_492,0,0
idiom_literal_466,0,0
idiom_literal_424,1,0
idiom_literal_216,0,0
idiom_literal_57,1,1
idiom_literal_324,0,0
idiom_literal_111,0,0
idiom_literal_339,1,0
idiom_literal_489,1,1
idiom_literal_371,1,1
idiom_literal_326,0,1
idiom_literal_304,1,1
idiom_literal_426,0,0
idiom_literal_112,0,0
idiom_literal_427,0,0
idiom_literal_78,1,1
idiom_literal_28,1,1
idiom_literal_18,1,0
idiom_literal_452,1,1
idiom_literal_387,0,0
idiom_literal_178,1,0
idiom_literal_261,0,0
idiom_literal_418,1,0
idiom_literal_35,0,0
idiom_literal_37,1,0
idiom_literal_474,1,1
idiom_literal_133,1,1
idiom_literal_165,0,0
idiom_literal_10,1,1
idiom_literal_497,1,0
idiom_literal_227,1,0
idiom_literal_61,1,1
idiom_literal_348,1,1
idiom_literal_172,1,0
idiom_literal_450,1,1
idiom_literal_31,1,1
idiom_literal_375,1,1
idiom_literal_135,1,0
idiom_literal_476,0,0
idiom_literal_212,1,1
idiom_literal_248,1,1
idiom_literal_249,1,0
idiom_literal_100,1,1
idiom_literal_166,0,0
idiom_literal_276,0,0
idiom_literal_182,1,1
idiom_literal_259,1,1
idiom_literal_408,1,1
idiom_literal_115,1,1
idiom_literal_225,1,1
idiom_literal_210,0,1
idiom_literal_200,0,0
idiom_literal_250,1,0
idiom_literal_445,0,0
idiom_literal_2,1,1
idiom_literal_199,1,1
idiom_literal_416,1,1
idiom_literal_191,,0
idiom_literal_255,0,0
idiom_literal_120,1,0
idiom_literal_446,0,0
idiom_literal_239,1,1
idiom_literal_27,1,1
idiom_literal_449,1,1
idiom_literal_87,1,1
idiom_literal_488,0,0
idiom_literal_378,1,1
idiom_literal_132,1,1
idiom_literal_442,0,0
idiom_literal_386,0,0
idiom_literal_281,1,1
idiom_literal_439,1,1
idiom_literal_84,1,1
idiom_literal_354,0,0
idiom_literal_51,1,1
idiom_literal_32,1,0
idiom_literal_39,1,1
idiom_literal_252,1,0
idiom_literal_433,1,1
idiom_literal_428,0,0
idiom_literal_185,1,1
idiom_literal_430,0,0
idiom_literal_49,1,0
idiom_literal_414,1,0
idiom_literal_222,0,1
idiom_literal_341,1,0
idiom_literal_491,0,1
idiom_literal_206,1,1
idiom_literal_235,1,0
idiom_literal_267,1,1
