text,first span,second span,correct_answer,answer
"По данным МВД, потерпевший с 2012 по 2017 год проходил службу в одном из подразделений столичного управления полиции. В октябре 2017 года ему позвонил подозреваемый, с которым он был знаком ранее, и потребовал 300 тысяч рублей, угрожая выложить личные фотографии полицейского в общий доступ в интернете. ""После того как заявитель отказался выплатить обозначенную сумму, дискредитирующие его фотографии были опубликованы в группе и стали доступны широкому кругу лиц"", - сказал Васенин.",подозреваемый,полицейского,False,False
"Отвечая на вопрос, мог ли сидевший в кабине на месте штурмана представитель потенциального заказчика SSJ-100 попросить экипаж выполнить какой-либо опасный маневр или вмешаться в процесс управления самолетом, собеседник агентства сказал: ""По предварительной информации, подобных просьб экипажу не поступало, не было и попыток повлиять на управление. Представитель потенциального заказчика сидел смирно и интересовался лишь обычными практическими моментами эксплуатации: расходом топлива на милю полета, емкостями багажных полок"".",собеседник агентства,потенциального заказчика,False,False
"""Хватит прыгать по заграницам"", - говорит Дымовский Медведеву. ""У вас есть Россия, разберитесь сначала здесь, – советует он. – Я понимаю, Путин там, Зорькин, Драгунцев, или как там начальника УСБ, Нургалиев – ладно, хрен с ними. Я понимаю, что у них задача поставлена уничтожить Россию. Они только борются сейчас за деньги, острова покупают в Тихом океане. Но Вы-то все-таки еще президент. По-простому говорю, как мужику, у Вас есть совесть, честь мужицкая?"".",Дымовский,Я,True,False
"На днях лидер ""Левого фронта"" был задержан в Санкт-Петербурге во время несанкционированной акции у БКЗ ""Октябрьский"". Удальцов и еще 12 человек пытались пройти на Марсово поле, где через час должен был начаться согласованный с властями митинг, однако были задержаны полицией. Их обвинили в неповиновении сотрудникам правоохранительных органов, организации несогласованной массовой акции и оставили на ночь в ОВД. Вместе с Удальцовым были задержаны и представители СМИ, которых впоследствии отпустили под обязательство явиться в мировой суд.","""Левого фронта""",мировой суд,False,False
"Олимпийцы Германии оказались в непростой ситуации. Устройства для подготовки снаряжения, которые лыжники и биатлонисты привезли с собой в Сочи, оказались неисправными. Но их выручили члены российской сборной, одолжив необходимое оборудование.",лыжники,биатлонисты,False,False
"Президент Украины Виктор Ющенко подписал закон, по которому голодомор в 1932-1933 годах на Украине признан геноцидом украинского народа, сообщает пресс-служба главы государства в среду. Накануне проект закона приняла Рада. Обсуждение было крайне напряженным и впервые раскололо антикризисную коалицию. В итоге был принят вариант Ющенко, но с парой поправок его оппонентов - Партии регионов.",вариант Ющенко,проект закона,True,False
"""В графике президента есть ""окна"", ими для встречи с Владимиром Путиным могут воспользоваться главы государств СНГ"", - отметили источники газеты. Может быть, этим советом воспользуется Михаил Саакашвили, на днях пообещавший выяснить причины пренебрежительного, на его взгляд, отзыва президента РФ о грузинской демократии лично у Путина.",президента РФ,Михаил Саакашвили,False,False
"Губернатор Мурманской области Марина Ковтун, как и обещала, приехала в пятницу, 16 июня, в Апатиты, чтобы разобраться в ситуации, и встретилась с родной тетей Дарьи Любовью Тулуповой, которая помогает ей воспитывать шестилетнюю дочь.",Дарьи,шестилетнюю дочь,False,False
"Разбившийся в Черном море Ту-154 вылетел утром 25 декабря из аэропорта Адлер в сирийскую Латакию. Он пропал с радаров в 05:27 мск через несколько минут после вылета. На борту находились 92 человека - исполнительный директор фонда ""Справедливая помощь"" Елизавета Глинка, ансамбль песни и пляски имени Александрова, журналисты Первого канала, телеканала ""Звезда"" и НТВ, а также сопровождающие их военнослужащие и экипаж. Они летели на новогодний концерт для авиагруппы ВКС России в Сирии. Все они погибли.",92 человека,Все они,True,False
"В Баграме президент США рассказывал американским военным о самой удачной войсковой операции в уезде Марджа южной провинции Гельменд. Тем временем из самого уезда приходили несколько иные сообщения. Накануне прилета Обамы талибы близ Марджи разгромили колонну частного охранного предприятия, убив четырех сотрудников ЧОП и ранив еще нескольких. Представители афганских силовых структур уже подтвердили эту информацию.",самого уезда,Марджи,True,False
"Правительства южноамериканских выступили с поддержкой президента Эквадора Рафаэля Корреа и критикой действий повстанцев. Венесуэльский президент Уго Чавес обвинил протестующих в ""попытке свергнуть президента Корреа"". По его словам, ""действия повстанцев скоординированы и не имеют под собой экономической основы, а направлены на свержение законно избранного президента страны"". Вице-президент Колумбии Анхелино Гарсон заявил, что ""в Боготе признают только легитимное правительство Эквадора, возглавляемое Корреа"". В МИД Аргентины выразили ""глубокую обеспокоенность в связи с акциями протеста и высказались поддержку конституционно избранного президента"". Президент Перу Алан Гарсия заявил, что страны Южной Америки намерены защитить стабильность в Эквадоре. При этом он объявил о ""закрытии государственной границы с Эквадором в связи с кризисом"".",Корреа,президента Корреа,True,False
