task_id,answer,correct_answer
disrpt_0,restatement,elaboration
disrpt_1,elaboration,elaboration
disrpt_2,sequence,joint
disrpt_3,attribution,solutionhood
disrpt_4,cause-effect,elaboration
disrpt_5,cause-effect,cause
disrpt_6,solutionhood,contrast
disrpt_7,sequence,sequence
disrpt_8,evaluation,joint
disrpt_9,purpose,purpose
disrpt_10,contrast,contrast
disrpt_11,contrast,preparation
disrpt_12,concession,concession
disrpt_13,contrast,concession
disrpt_14,purpose,preparation
disrpt_15,background,preparation
disrpt_16,background,joint
disrpt_17,evaluation,elaboration
disrpt_18,contrast,contrast
disrpt_19,cause-effect,restatement
disrpt_20,evaluation,joint
disrpt_21,cause,purpose
disrpt_22,background,elaboration
disrpt_23,purpose,purpose
disrpt_24,solutionhood,elaboration
disrpt_25,purpose,elaboration
disrpt_26,cause,joint
disrpt_27,evaluation,joint
disrpt_28,cause,elaboration
disrpt_29,comparison,elaboration
disrpt_30,background,preparation
disrpt_31,attribution,attribution
disrpt_32,purpose,purpose
disrpt_33,restatement,preparation
disrpt_34,elaboration,joint
disrpt_35,background,elaboration
disrpt_36,sequence,cause
disrpt_37,elaboration,contrast
disrpt_38,attribution,attribution
disrpt_39,condition,joint
disrpt_40,evaluation,attribution
disrpt_41,elaboration,contrast
disrpt_42,comparison,joint
disrpt_43,motivation,elaboration
disrpt_44,purpose,purpose
disrpt_45,elaboration,elaboration
disrpt_46,motivation,evidence
disrpt_47,joint,joint
disrpt_48,contrast,contrast
disrpt_49,definition,elaboration
disrpt_50,contrast,solutionhood
disrpt_51,motivation,joint
disrpt_52,contrast,evidence
disrpt_53,condition,joint
disrpt_54,sequence,joint
disrpt_55,evidence,preparation
disrpt_56,cause-effect,elaboration
disrpt_57,cause,attribution
disrpt_58,cause-effect,cause
disrpt_59,cause,elaboration
disrpt_60,evidence,joint
disrpt_61,evaluation,elaboration
disrpt_62,cause-effect,cause
disrpt_63,sequence,preparation
disrpt_64,cause-effect,joint
disrpt_65,background,preparation
disrpt_66,comparison,evaluation
disrpt_67,restatement,joint
disrpt_68,cause-effect,cause
disrpt_69,motivation,elaboration
disrpt_70,contrast,contrast
disrpt_71,cause-effect,elaboration
disrpt_72,condition,condition
disrpt_73,cause,elaboration
disrpt_74,sequence,joint
disrpt_75,elaboration,attribution
disrpt_76,background,elaboration
disrpt_77,background,elaboration
disrpt_78,attribution,elaboration
disrpt_79,evaluation,evaluation
disrpt_80,contrast,contrast
disrpt_81,condition,condition
disrpt_82,restatement,elaboration
disrpt_83,cause-effect,elaboration
disrpt_84,evidence,evidence
disrpt_85,cause-effect,condition
disrpt_86,elaboration,evaluation
disrpt_87,elaboration,restatement
disrpt_88,restatement,elaboration
disrpt_89,contrast,preparation
disrpt_90,cause,attribution
disrpt_91,evaluation,evaluation
disrpt_92,contrast,contrast
disrpt_93,sequence,joint
disrpt_94,concession,attribution
disrpt_95,antithesis,preparation
disrpt_96,attribution,joint
disrpt_97,cause,sequence
disrpt_98,contrast,condition
disrpt_99,elaboration,elaboration
disrpt_100,condition,joint
disrpt_101,cause,elaboration
disrpt_102,sequence,condition
disrpt_103,background,background
disrpt_104,cause,cause
disrpt_105,cause-effect,joint
disrpt_106,restatement,elaboration
disrpt_107,contrast,concession
disrpt_108,cause,preparation
disrpt_109,cause,joint
disrpt_110,evaluation,evaluation
disrpt_111,restatement,joint
disrpt_112,evidence,elaboration
disrpt_113,concession,contrast
disrpt_114,sequence,background
disrpt_115,sequence,elaboration
disrpt_116,contrast,background
disrpt_117,contrast,contrast
disrpt_118,restatement,attribution
disrpt_119,elaboration,joint
disrpt_120,motivation,joint
disrpt_121,elaboration,joint
disrpt_122,restatement,elaboration
disrpt_123,attribution,evaluation
disrpt_124,evidence,attribution
disrpt_125,comparison,elaboration
disrpt_126,cause-effect,elaboration
disrpt_127,cause,joint
disrpt_128,contrast,joint
disrpt_129,elaboration,elaboration
disrpt_130,contrast,elaboration
