task_id,answer,correct_answer
0,в некоторых случаях,не дано
1," то, что я должен был бы ответить или подразумевалось, что я должен был согласиться",не считаю что вам подходит это платье
2,никогда не хочу,не хочу в кино
3,"Они попросили меня _пойти с ними_ на озеро, но у меня нет времени.",пойти на озеро
4,я пойду,пойду в кино
5,в конце фразы пропущена восклицательная или вопросительная отметка и возможно запятая после '50 на 50',не встретишь
6,не закончен,пейзаж
7,...,обеспечивается
8,туда,Я собираюсь пойти
9,,встречу
10,,стать космонавтом
11,,был
12,,составит
13, Ltd.,является
14,Я купил,я купил в магазине
15,на всей земле _и в небе_,любила только
16,...,уменьшилась
17,,дрались дети
18,,в целом по году розница может свалиться на 8.5-9 процентов
19,он читает,читает
20,студентам демоверсии,демоверсии
21,помыл,машину
22,шпинделе,закреплен
23,их,принёс эти документы
24,"В соответствии с этой статьей вред, причиненный гражданину либо юридическому лицу вследствие недостатков _услуги_, а также вследствие недостоверной или недостаточной информации об услуге, подлежит возмещению лицом, оказавшим услугу (исполнителем), независимо от его вины и от того, состоял потерпевший с ним в договорных отношениях или нет.",не состоял с ним в договорных отношениях
25,книгу,книгу по математике
26,ненавидит свой номер в отеле,ненавидит свой номер в отеле
27,был,я в последний раз был в театре
28,упала,упала со стола
29,успокоит своего брата,успокоит своего брата
30,кем,они смеются
31,,"выполнять, помыл часть своей посуды"
32,это и там,стороны
33,сделал,я сделал домашку
34,,конфеты одноклассникам
35,не дошло,письмо не дошло
36,,Иван улыбается
37,на ужин,у нас сегодня на ужин
38,тоже нравится,цвет
39,,Олег позовет на бал
40,,было не додумано еще
41,,отводится
42,праздничную атмосферу,придется
43,,принадлежат Илону Маску
44,петь эту песню,петь эту песню
45,,не люблю
46,Ваня помогает своей пожилой соседке,помогает своей пожилой соседке
47,"в сравнении с тем, что","художественной литературы читал намного больше чем сейчас, художественной литературы читали намного больше чем сейчас, художественную литературу читали намного больше чем сейчас, художественной литературы читали намного больше чем сейчас"
48,,возросло
49,,пел
50,он пытался,он пытался
51,рисовать,"нарисовать, рисовать"
52,наименование бирж,составляют
53,одевается странно,сегодня смутит свою жену
54,их,мы оставили ключи от машины вчера вечером
55,,"Вика, позвала гулять"
56,,экзамен
57,...,директору на юбилей подарят
58,как-то или определенным образом,нарушить закон
59,,изливает воду
60,,в метро сегодня такие пробки
61,сделал,не сделал домашку
62,является,доктор
63,Auchan Retail является,является владельцем сети гипермаркетов Ашан
64,этом,этот актер играет
65,Я помыл,"помыл, не помыл"
66,,равнялся
67,одну и ту же,собаку
68,ему,он звонит
69,делать его,делать это домашнее задание
70,которого он видел или знал ранее,вспомнить имя того человека
71,перед предъявлением,кося
72,,продолжало
73,зарядку,зарядку
74,кухне,холодильник стоит
75,он,каждый год разбивает стакан
76,...,он читает в свободное время
77,,неразрывно связана
78,идти в кино,хочет идти в кино
79,любит,не любит Нину
80,"Каждый пригласил кого-то танцевать, но я не помню, _",пригласил танцевать
81,72.1 и теоремы 71.1,следует
82,это было нужно,он был воткнут
83,"от такой короткой или незначительной деятельности или времени, прошедшего с начала действия",я не успел устать
84,бегаю,могу бегать
85,там,он учится
86,"['про нас с', 'ну, ты понимаешь']",не говорил
87,семи,Петя будет в офисе завтра
88,левой руки,руки
89,,Бернстайн попросил солиста сыграть какие-то безумные штрихи
90,,разрешила себе поесть мороженого
91,помочь,тебе помочь
92,"информация о сравнении или  других форматах, либо о принтере",выполняется со скоростью до
93,кто,обижает
94,,предназначена для взаимодействия
95,снилось,мне снилось
96,делать хим завивку,делать хим завивку
97,,заходить в дом
98,голосуют,административный ресурс будет использован на всю катушку
99,потому что,высказывать
