task_id,answer,correct_answer
disrpt_489,elaboration,elaboration
disrpt_220,sequence,sequence
disrpt_379,contrast,comparison
disrpt_24,solutionhood,elaboration
disrpt_498,elaboration,joint
disrpt_226,purpose,purpose
disrpt_26,sequence,joint
disrpt_212,condition,evaluation
disrpt_89,elaboration,preparation
disrpt_254,elaboration,background
disrpt_428,solutionhood,joint
disrpt_343,comparison,comparison
disrpt_123,background,evaluation
disrpt_250,attribution,attribution
disrpt_476,condition,purpose
