task_id,answer,correct_answer
0,Да это даже полезно _.,не дано
1,нет_,не считаю что вам подходит это платье
2,а я никогда _,не хочу в кино
3,_на это_,пойти на озеро
4,Да_я пойду в кино_,пойду в кино
5,,не встретишь
6,а тот _,пейзаж
7,"а1, ..., ап",обеспечивается
8,В магазин_,Я собираюсь пойти
9,а Витя отменил_,встречу
10,стать космонавтами,стать космонавтом
11,,был
12,,составит
13,,является
14,_Хлеб и молоко,я купил в магазине
15,,любила только
16,а дебиторская задолженность _- на 3% до_,уменьшилась
17,,дрались дети
18,,в целом по году розница может свалиться на 8.5-9 процентов
19,он,читает
20,_,демоверсии
21,машину,машину
22,,закреплен
23,Секретарь директора_,принёс эти документы
24,,не состоял с ним в договорных отношениях
25,книгу,книгу по математике
26,тоже _ненавидит свой номер в отеле_,ненавидит свой номер в отеле
27,Когда ты в последний раз был в театре_? Год назад.,я в последний раз был в театре
28,Что упало со стола? – Тарелка_.,упала со стола
29,"Если Даша успокоит своего брата, то Маша тоже_",успокоит своего брата
30,кем,они смеются
31,помыл часть своей посуды,"выполнять, помыл часть своей посуды"
32,правильные данные,стороны
33,Да_,я сделал домашку
34,,конфеты одноклассникам
35,до Коли _ еще нет,письмо не дошло
36,это,Иван улыбается
37,Что у нас сегодня на ужин? _ Паста карбонара.,у нас сегодня на ужин
38,ничего_,цвет
39,,Олег позовет на бал
40,что__,было не додумано еще
41,_,отводится
42,а праздничную атмосферу организовывать_,придется
43,,принадлежат Илону Маску
44,будет_,петь эту песню
45,я её _,не люблю
46, _ ,помогает своей пожилой соседке
47,,"художественной литературы читал намного больше чем сейчас, художественной литературы читали намного больше чем сейчас, художественную литературу читали намного больше чем сейчас, художественной литературы читали намного больше чем сейчас"
48,,возросло
49,_,пел
50,,он пытался
51,нарисовать,"нарисовать, рисовать"
52,___,составляют
53,одевается так же странным образом,сегодня смутит свою жену
54,где именно,мы оставили ключи от машины вчера вечером
55,"а я думал, что меня_","Вика, позвала гулять"
56,,экзамен
57,,директору на юбилей подарят
58,"Хотя мы хотели _ нарушить закон, мы не посмели.",нарушить закон
59,"вода, _символ Света_, на себя",изливает воду
60,,в метро сегодня такие пробки
61,"Нет, ещё _.",не сделал домашку
62,"Петя доктор, и Даша тоже_",доктор
63,Auchan Retail _,является владельцем сети гипермаркетов Ашан
64,В _ Пер Гюнте,этот актер играет
65,"Я, а брат _ нет.","помыл, не помыл"
66,а выплат_ - 900.5 млн. долл. США.,равнялся
67,_,собаку
68, _,он звонит
69,но я буду _,делать это домашнее задание
70,,вспомнить имя того человека
71,,кося
72,,продолжало
73,а твою _ она пока не нашла,зарядку
74,,холодильник стоит
75,разбивает стакан,каждый год разбивает стакан
76,,он читает в свободное время
77,с озером Титикака,неразрывно связана
78,идти в кино,хочет идти в кино
79,_,не любит Нину
80,кого пригласил каждый,пригласил танцевать
81,теоремы 71.1; для (F) и Q0ic - из 72.1 и _; для Qon и Q02 _,следует
82,чтобы проверить,он был воткнут
83,Конечно нет...,я не успел устать
84,чем _я_,могу бегать
85,он учится,он учится
86,про… про нас с…,не говорил
87,в офисе,Петя будет в офисе завтра
88,_рука_,руки
89,«Because I am old and my name is Leonard Bernstein» _,Бернстайн попросил солиста сыграть какие-то безумные штрихи
90,поела мороженого,разрешила себе поесть мороженого
91,Сейчас не смогу_.,тебе помочь
92,,выполняется со скоростью до
93,"Известно, начальство, власти_",обижает
94,а другая - _,предназначена для взаимодействия
95,что_снилось,мне снилось
96,"Все делали _химическую_ завивку, в том году _это_ было модно.",делать хим завивку
97,"Хотя Кузьма собирался зайти в дом, он понял, что не должен _зайти в дом_.",заходить в дом
98,за кого_,административный ресурс будет использован на всю катушку
99, _ ,высказывать
