task_id,answer,correct_answer
idiom_example_312,1,1
idiom_example_191,1,1
idiom_example_88,0,1
idiom_example_150,0,1
idiom_example_279,1,1
idiom_example_109,1,1
idiom_example_270,1,1
idiom_example_413,1,1
idiom_example_186,1,1
idiom_example_412,0,1
idiom_example_288,1,1
idiom_example_75,1,1
idiom_example_314,1,1
idiom_example_153,1,1
idiom_example_364,1,1
idiom_example_48,1,1
idiom_example_43,1,1
idiom_example_166,1,1
idiom_example_359,1,1
idiom_example_38,1,1
idiom_example_262,1,1
idiom_example_190,1,1
idiom_example_318,1,1
idiom_example_447,0,1
idiom_example_215,1,1
idiom_example_151,0,1
idiom_example_317,1,1
idiom_example_121,1,1
idiom_example_326,1,1
idiom_example_61,1,1
idiom_example_385,1,1
idiom_example_263,1,1
idiom_example_311,1,1
idiom_example_481,1,1
idiom_example_183,1,1
idiom_example_361,1,1
idiom_example_35,1,1
idiom_example_184,1,1
idiom_example_83,1,1
idiom_example_195,1,1
idiom_example_489,1,1
idiom_example_59,0,1
idiom_example_406,0,1
idiom_example_282,0,1
idiom_example_137,1,1
idiom_example_284,1,1
idiom_example_94,1,1
idiom_example_448,1,1
idiom_example_304,1,1
idiom_example_84,0,1
idiom_example_407,0,1
idiom_example_381,1,1
idiom_example_333,1,1
idiom_example_498,1,1
idiom_example_429,1,1
idiom_example_20,0,1
idiom_example_427,0,1
idiom_example_410,0,1
idiom_example_132,1,1
idiom_example_431,1,1
idiom_example_120,0,1
idiom_example_240,1,1
idiom_example_492,0,1
idiom_example_66,1,1
idiom_example_295,1,1
idiom_example_5,1,1
idiom_example_400,1,1
idiom_example_60,0,1
idiom_example_157,1,1
idiom_example_62,1,1
idiom_example_402,1,1
idiom_example_235,1,1
idiom_example_27,1,1
idiom_example_346,0,1
idiom_example_490,0,1
idiom_example_145,1,1
idiom_example_224,1,1
idiom_example_155,1,1
idiom_example_231,1,1
idiom_example_297,1,1
idiom_example_222,1,1
idiom_example_278,0,1
idiom_example_138,0,1
idiom_example_141,0,1
idiom_example_22,1,1
idiom_example_330,1,1
idiom_example_250,0,1
idiom_example_408,1,1
idiom_example_9,1,1
idiom_example_37,1,1
idiom_example_247,1,1
idiom_example_478,0,1
idiom_example_229,1,1
idiom_example_325,1,1
idiom_example_252,1,1
idiom_example_11,1,1
idiom_example_488,1,1
idiom_example_90,1,1
idiom_example_417,1,1
idiom_example_438,1,1
