task_id,answer,correct_answer
idiom_example_445,0,1
idiom_example_73,0,1
idiom_example_101,1,1
idiom_example_109,1,1
idiom_example_251,1,1
idiom_example_297,1,1
idiom_example_439,1,1
idiom_example_436,1,1
idiom_example_245,1,1
idiom_example_339,1,1
idiom_example_28,0,1
idiom_example_122,0,1
idiom_example_67,1,1
idiom_example_381,0,1
idiom_example_49,1,1
idiom_example_307,1,1
idiom_example_486,1,1
idiom_example_331,1,1
idiom_example_294,1,1
idiom_example_496,1,1
idiom_example_236,0,1
idiom_example_438,1,1
idiom_example_465,1,1
idiom_example_356,1,1
idiom_example_130,1,1
idiom_example_229,0,1
idiom_example_140,1,1
idiom_example_147,1,1
idiom_example_500,1,1
idiom_example_163,1,1
idiom_example_372,1,1
idiom_example_341,1,1
idiom_example_449,1,1
idiom_example_53,0,1
idiom_example_355,1,1
idiom_example_246,0,1
idiom_example_489,0,1
idiom_example_100,1,1
idiom_example_410,1,1
idiom_example_6,0,1
idiom_example_11,1,1
idiom_example_412,0,1
idiom_example_204,1,1
idiom_example_92,1,1
idiom_example_425,1,1
idiom_example_170,2,1
idiom_example_349,0,1
idiom_example_194,1,1
idiom_example_424,1,1
idiom_example_446,0,1
idiom_example_454,1,1
idiom_example_453,1,1
idiom_example_419,1,1
idiom_example_1,1,1
idiom_example_26,1,1
idiom_example_313,1,1
idiom_example_406,0,1
idiom_example_195,1,1
idiom_example_461,1,1
idiom_example_340,1,1
idiom_example_252,1,1
idiom_example_175,1,1
idiom_example_387,1,1
idiom_example_497,1,1
idiom_example_327,1,1
idiom_example_471,1,1
idiom_example_183,0,1
idiom_example_200,1,1
idiom_example_199,1,1
idiom_example_43,1,1
idiom_example_13,1,1
idiom_example_243,0,1
idiom_example_413,1,1
idiom_example_203,1,1
idiom_example_430,1,1
idiom_example_469,1,1
idiom_example_2,0,1
idiom_example_384,0,1
idiom_example_230,1,1
idiom_example_411,0,1
idiom_example_378,1,1
idiom_example_30,1,1
idiom_example_358,1,1
idiom_example_202,1,1
idiom_example_350,0,1
idiom_example_390,1,1
idiom_example_106,1,1
idiom_example_181,0,1
idiom_example_68,0,1
idiom_example_364,0,1
idiom_example_59,0,1
idiom_example_274,1,1
idiom_example_352,0,1
idiom_example_201,1,1
idiom_example_292,1,1
idiom_example_260,0,1
idiom_example_335,1,1
idiom_example_135,0,1
idiom_example_361,1,1
idiom_example_241,1,1
